[0.1s-182.7s] OK 那么市场今天是非常的
[183.7s-184.5s] 两级分化
[308.4s-308.9s] 你看
[309.1s-310.6s] 接下来两天又危险了
[310.6s-311.1s] 为什么
[311.1s-312.4s] 因为他又要到上乡了
[316.3s-316.8s] 懂吗
[317.5s-319.7s] 就是接下来又要开始危险了
[319.7s-320.7s] 马上又要到上乡了
[322.0s-324.1s] 大概率就会在这里做载不振的
[325.3s-327.2s] 大概率就会在这里做载不振的
[335.8s-336.3s] 好
[336.3s-336.8s] OK
[336.8s-340.7s] 那么大概的现在市场的一些
[341.1s-341.9s] 情况
[342.1s-344.6s] 跟大家简单的过一遍
[344.7s-346.1s] 那么接下来的时间
[346.1s-347.5s] 我们正式进入到
[348.5s-349.9s] 盘面的分析
[349.9s-350.9s] 还是老规矩
[350.9s-352.4s] 我们从一个模块
[352.4s-353.3s] 一个模块
[353.6s-354.7s] 去分析
[355.0s-355.5s] 好吧
[356.5s-358.1s] 那么先
[358.6s-359.3s] 会总一下
[359.3s-360.5s] 就是这几天的行情
[360.5s-362.9s] 刚才我给大家做了一个简单的总结
[362.9s-365.2s] 市场现在是节度割裂的
[365.6s-367.4s] 今天市场的盘面
[367.4s-369.6s] 又把几个点印证的
[369.6s-371.3s] 特别的明显
[371.7s-372.8s] 几个关键词
[372.8s-373.8s] 大家脑海当中
[373.8s-375.0s] 一定要有印象
[393.8s-395.9s] 来正当行情
[395.9s-396.4s] 来吧
[397.3s-400.4s] 那么对为我们现代这个行情
[400.4s-402.0s] 做一个定位
[402.0s-403.0s] 做一个定位
[403.0s-404.6s] 首先第一个就是
[405.2s-406.6s] 现在这个行情里面
[407.2s-408.4s] 现在这个行情里面
[408.4s-410.0s] 市场特征是非常明显的
[410.0s-411.9s] 第一科技里面的
[411.9s-414.0s] AI科技里面的结构性暴团
[414.7s-415.4s] 第一个
[415.6s-416.3s] 第二
[416.7s-420.1s] AI科技里面的所有大容量标的
[420.8s-422.0s] 都会被轮到
[424.1s-425.9s] 曾经没有长起来的
[425.9s-427.6s] AI科技里面的一些
[428.0s-430.2s] 细分板块的核心龙头
[430.2s-431.5s] 千亿市值以上的
[431.9s-433.7s] 你会发现所有的个股
[433.9s-435.2s] 都会被轮异变
[436.2s-438.0s] 没长起来的都会被长起来
[438.7s-439.8s] 这就是目前市场
[439.8s-441.1s] 很明显的一个特征
[441.6s-442.4s] 第三
[442.8s-444.4s] 就是节制的暴团
[444.8s-446.1s] 暴团越来越明显
[446.1s-447.4s] 其实今天市场
[447.6s-450.4s] 你不在这几大方向里面的
[451.1s-452.4s] 不在这几大方向里面的
[452.4s-453.4s] 市场是停产
[453.7s-456.0s] 所以现在两级分化非常严重
[456.3s-457.2s] 什么叫非常严重
[457.2s-457.7s] 就是
[459.4s-460.5s] KTV的一帮人
[460.5s-461.5s] 天天KTV
[461.8s-462.8s] ICU的一帮人
[462.8s-464.0s] 天天在ICU
[465.4s-467.7s] 就是目前市场典型的特征
[467.7s-469.8s] 所以现在市场的结构性暴团
[469.8s-471.2s] 用一句话来概括总结
[471.2s-475.1s] 就是AI科技里面的核心大票
[477.5s-478.1s] 暴团
[479.2s-481.4s] AI科技里面的核心大票
[481.4s-483.4s] 尤其是那些还没有长起来的
[483.4s-484.6s] 核心大票的暴团
[485.3s-487.1s] 你会发现今天AI科技这么强
[487.3s-489.9s] 但是存储芯片原来的三巨头没怎么动
[493.9s-494.5s] 对吧
[494.6s-496.9s] 存储芯片的三巨头没怎么动
[499.2s-502.7s] 所以要把这句话刻在脑海里面
[504.2s-504.8s] 好吧
[504.9s-509.1s] 那么这是对盘面整个市场偏耗的
[509.1s-510.8s] 我们的一个定性
[510.9s-511.9s] 所以你会发现
[511.9s-514.2s] 我在悬谷上面是非常明显的
[514.2s-517.9s] 就是基本直选行业龙头的大容量
[518.5s-521.6s] 昨天晚上的半夜给大家录了一个
[522.3s-523.0s] 直播
[523.0s-524.6s] 今天早上应该大家都看到了
[525.0s-526.4s] 昨天有点到的一个点
[526.4s-528.1s] 我认为这一次
[528.2s-530.7s] 为什么还是可以继续在五层仓位里面
[530.7s-532.4s] 游走去增加了一点仓位
[532.4s-536.0s] 是因为我觉得出现了一条细分领域的主线
[536.4s-539.5s] 这个主线叫做印刷电路版PCB
[540.2s-543.7s] 那么昨天也跟大家讲了里面的三个核心
[544.0s-545.5s] 盆顶 固垫 生意
[545.5s-547.8s] 这三兄弟没什么好区分的
[548.1s-554.3s] 盆顶偏游资的基金资金会稍微多一点点
[554.7s-558.1s] 偏游资的资金会稍微多一点点
[558.1s-559.4s] 固垫和生意
[559.8s-561.8s] 那么偏机构资金会稍微多一点
[561.8s-565.1s] 这三个都是PCB里面的核心龙头
[565.1s-567.2s] 当然市值也都是2000亿以上的
[567.9s-569.4s] 市值也都是2000亿以上的
[569.4s-571.2s] 那么今天也不负众望
[571.3s-572.1s] 长得非常好
[572.1s-573.3s] 那么生意也好
[573.3s-574.2s] 固垫也好
[574.4s-577.1s] 这是我们周五选出来的标的
[578.4s-580.1s] 这是我们周五选出来的标的
[580.1s-581.1s] 一个是我选的
[581.1s-584.3s] 我是在朋友圈十几点钟发生的
[587.7s-589.8s] 朋友圈是在
[591.8s-593.8s] 13点1点15分发的
[593.8s-597.0s] 那么后面他炸板炸了一下
[597.8s-598.7s] 后面他炸板炸了一下
[598.7s-600.0s] 后面又回锋了生意
[600.5s-602.2s] 那么固垫是我们软件
[602.2s-603.6s] 早上就选出来的标的
[604.4s-607.4s] 早上就选出来的标的
[607.9s-609.5s] 我发现现在有一点
[610.2s-614.2s] 大家天天盯着猫着我分享的标的
[614.4s-616.2s] 反而有点脱离软件
[616.2s-618.0s] 分享的很多优质标的了
[619.2s-621.6s] 反而有点脱离软件
[621.6s-622.9s] 分享的优质标的
[622.9s-624.9s] 接下来要跟你们好好闹了
[625.4s-627.6s] 软件分享的优质标
[628.5s-628.8s] 好吗
[628.8s-631.0s] 我觉得软件实在是太牛逼了
[631.2s-632.0s] 说句实话
[632.0s-634.2s] 我有的时候的意识没有他快
[635.2s-637.4s] 等一下这个环节我最后讲
[637.4s-638.4s] 关于个股类的
[638.4s-639.2s] 我等下最后讲
[639.2s-640.2s] 我们先不着急
[640.6s-641.5s] 先不着急
[643.0s-643.5s] 好吧
[643.5s-645.0s] 我们先把前面的走完
[646.9s-648.8s] 这软件选的标的比我快
[649.2s-650.4s] 但确实是比我快
[650.4s-651.2s] 这两个这几天
[653.1s-654.2s] 来标的我们最后讲
[654.4s-656.1s] 先把环境先搞明白
[658.1s-661.2s] 这个问题每一天都在重复
[661.2s-663.3s] 但是每一天都在不细化
[664.0s-665.2s] 总有人在问
[665.2s-666.5s] 所以总有人会重复
[666.5s-668.6s] 你们只要有一个人在问
[668.9s-671.1s] 我就会不停的去重复
[672.2s-672.5s] 好吧
[672.5s-675.3s] 直到没有人在问这个问题为止
[675.5s-676.7s] 那么我就会一句话
[676.7s-677.8s] 帮你们总结带过
[677.8s-680.3s] 不然每一天我都会重复
[680.3s-681.0s] 重复
[682.0s-683.6s] 重复着浪费大家的时间
[684.5s-685.1s] 好吧
[685.6s-686.5s] 那么在这里
[686.5s-688.2s] 我跟大家昨天直播的时候
[688.2s-689.3s] 也讲得非常明确了
[689.3s-690.6s] 这里是四阶段
[691.6s-692.5s] 四阶段是什么
[692.5s-693.8s] 弱势震荡
[694.5s-696.1s] 或者叫做强势震荡
[696.1s-696.6s] 不重要
[696.6s-697.9s] 就是一个震荡行情
[698.9s-700.4s] 就是一个震荡行情
[700.6s-703.4s] 那么这里面很明确的告诉过大家
[703.4s-704.9s] 他会模仿两种
[704.9s-705.6s] 第一种
[707.1s-707.7s] 这里的
[709.4s-711.4s] 这里的是大家比较喜欢的
[711.4s-712.4s] 相对来说
[712.4s-713.8s] 载福震荡会
[714.2s-715.8s] 他震荡会比较窄
[716.7s-718.0s] 但是也不妨碍
[718.0s-719.6s] 他会有这样的连长
[719.8s-721.1s] 也会有这样子连跌
[721.1s-722.3s] 也会有这样子连长
[722.3s-723.6s] 也会有这样子连跌
[724.6s-725.6s] 所以不要问我
[725.6s-727.1s] 天天问
[728.0s-728.9s] 今天什么仓位
[728.9s-729.7s] 明天什么仓位
[729.7s-730.6s] 像个傻逼一样的
[730.6s-731.4s] 在天天在这里仓位
[731.4s-732.4s] 仓位
[734.2s-735.1s] 仓位这个话题
[735.1s-737.0s] 我三句话已经跟你们讲得非常明白了
[745.9s-747.6s] 你曾经在这里赚到钱没
[747.6s-749.0s] 你曾经在这里赚到钱没
[749.0s-749.8s] 就这么简单
[750.4s-751.8s] 你有能力在这种行情里面
[751.8s-752.5s] 都能赚到钱
[752.5s-753.7s] 那你就去满舱去好了
[756.5s-757.6s] 看看两天有什么用
[758.3s-759.4s] 能解决什么问题的
[763.0s-764.0s] 这里没涨过吗
[765.0s-766.0s] 这里没涨过吗
[766.6s-767.6s] 这里没涨过吗
[770.3s-771.6s] 你觉得你在这里种苍
[771.6s-773.4s] 难道你在这里下跌就不种苍了吗
[776.6s-777.9s] 你觉得你在这里种苍
[777.9s-779.7s] 难道这里的下跌你就不种苍了吗
[780.4s-781.3s] 你有这么牛逼吗
[781.4s-782.7s] 上涨的时候都是种苍
[782.7s-784.1s] 下跌的时候都是清苍
[784.6s-785.4s] 可能吗
[786.5s-788.1s] 盈亏同源
[788.7s-789.5s] 都是一样的
[796.1s-798.0s] 盈亏同源都是一样的
[798.4s-799.4s] 没有任何区别
[800.1s-801.9s] 所以在这种阶段我讲得很明白了
[801.9s-802.9s] 自己去评估
[802.9s-803.9s] 我先告诉你们
[804.3s-805.0s] 强势一点
[805.0s-805.6s] 走这种
[807.4s-808.8s] 震荡区间会比较窄
[809.3s-810.7s] 弱势一点走这种
[814.7s-815.7s] 弱势一点走这种
[815.7s-817.1s] 但我个人倾向于第一种
[817.1s-817.4s] 为什么
[817.4s-819.5s] 因为这里出现的时候
[820.0s-821.5s] 在这里出现的时候
[821.9s-823.0s] 最大的原因是什么
[823.0s-825.3s] 是因为有战争突发消息的战争
[825.3s-826.5s] 引发的这一波行情
[827.7s-829.4s] 引发的这一波下跌行情
[830.6s-831.4s] 能理解吗
[831.6s-834.5s] 这是由突发事件造成的这一波下跌机穿
[834.9s-836.4s] 所以我告诉过你们这里是什么
[836.4s-837.2s] 黄金坑
[840.1s-840.5s] 对吧
[841.1s-842.5s] 这里是黄金坑
[846.1s-846.8s] 能理解吧
[849.9s-851.4s] 所以对于行情的定性
[851.4s-852.5s] 我们不用去定性了
[853.2s-855.4s] 目前来说区间震荡非常窄
[855.9s-858.5s] 基本上可以理解为这里的跟这里的
[858.8s-860.4s] 大概率就在这个区间里面
[861.2s-861.8s] 在玩
[862.0s-863.8s] 到了上香它就会往下
[863.8s-864.8s] 到了下起
[864.8s-865.6s] 它就会往上
[865.6s-867.0s] 目前是这么一个状态
[867.3s-868.6s] 这就是震荡区间
[869.3s-870.1s] 震荡行情
[870.9s-872.7s] 这个定性定清楚了就好了
[872.7s-873.8s] 那么我们以前
[874.1s-874.8s] 最早的时候
[874.9s-876.0s] 所有的粉丝进来
[876.0s-877.4s] 第一堂必修课
[877.9s-880.6s] 叫做仓卫管理对应我们的软件
[881.6s-883.6s] 叫做三座两不座
[883.6s-884.6s] 何为三座
[885.2s-887.7s] 指数主声浪多头行情满舱
[889.0s-889.7s] 一阶段
[889.7s-891.9s] 就是指一阶段三阶段满舱
[893.9s-894.4s] 对吧
[894.7s-895.2s] 好
[895.9s-898.8s] 因为指数单边多头行情必有主线
[899.3s-900.0s] 第二种
[900.6s-902.1s] 两三座两不做
[902.1s-903.1s] 还有两座是什么
[903.1s-904.2s] 指数正当行情
[904.2s-905.3s] 有超短行情
[905.3s-906.3s] 有腰骨行情
[906.3s-909.2s] 可做仓卫六层级六层仓卫以内
[913.1s-913.6s] 对吧
[913.8s-914.6s] 第三种
[915.1s-916.4s] 指数正当行情
[916.4s-919.6s] 但是我们有主线六层级六层仓卫以内
[921.4s-922.2s] 两不做
[923.4s-924.8s] 正当弱势行情
[924.8s-926.0s] 没有主线
[926.4s-926.8s] 不做
[927.8s-929.3s] 单边下边行情
[929.7s-930.2s] 不做
[931.1s-933.6s] 这就是给大家长期定性的叫做
[934.0s-935.8s] 三座两不做
[938.2s-940.7s] 很多人对于一个阶段性的仓卫管理
[940.7s-942.0s] 一点概念都没有
[942.3s-943.4s] 长了就在问
[943.7s-945.2s] 我现在能不能满舱
[945.6s-946.9s] 我现在能不能重仓
[949.7s-951.6s] 你先问问你自己赚到钱没
[953.3s-954.6s] 在这个阶段你赚钱没
[954.7s-956.1s] 在这个阶段你赚钱没
[956.5s-958.3s] 在这个阶段你赚钱没
[965.2s-965.8s] 完事了
[965.8s-966.6s] 没什么好讲的
[966.6s-967.7s] 你要满舱就满舱
[967.7s-968.2s] 我说过了
[968.2s-969.0s] 我昨天的直播
[969.0s-969.8s] 我说过一句话
[970.1s-972.9s] 以后不给大家讲仓卫管理的问题了
[973.6s-974.5s] 没有这个必要
[974.5s-975.7s] 所以在直播间
[976.2s-977.6s] 以后不讲仓卫管理
[977.9s-978.8s] 你爱多少仓卫
[978.8s-979.7s] 多少仓卫
[979.7s-981.6s] 我只给你们去
[982.5s-984.1s] 我只给你们去定性
[984.6s-985.9s] 现在这个阶段
[986.6s-987.6s] 是怎么样子的
[987.9s-990.0s] 曾经发生过的阶段是怎么样子的
[990.0s-990.9s] 你自己去类比
[995.1s-997.5s] 本来以前我会去给你们讲仓卫管理
[997.5s-998.5s] 我觉得以后
[998.9s-999.7s] 没有这个必要
[999.7s-1001.0s] 实在是太烦人了
[1001.5s-1002.1s] 长一天
[1002.1s-1003.4s] 长两天就开始了
[1003.4s-1004.4s] 爹一天就问
[1004.4s-1005.6s] 我重仓怎么办
[1005.7s-1007.3s] 长一天就我空舱怎么办
[1007.3s-1008.1s] 烦死
[1009.9s-1011.3s] 这种弱智的问题
[1011.3s-1012.9s] 我讲了N变阶段
[1012.9s-1013.8s] 阶段
[1014.8s-1015.7s] 到现在为止
[1015.7s-1016.7s] 听了这么多天直播
[1016.7s-1018.3s] 还不懂什么叫阶段的人
[1020.2s-1022.0s] 是因为你不认真听
[1023.4s-1024.7s] 跟其他没关系
[1025.5s-1026.8s] 我不相信你们进来的人
[1026.8s-1029.3s] 炒股票的精力还不到两个月
[1029.3s-1030.0s] 应该不至于
[1032.2s-1034.9s] 我们这里直播间有炒股年限
[1034.9s-1035.9s] 低于半年的嘛
[1035.9s-1037.0s] 公平上面扣个酒
[1037.0s-1037.8s] 我看一下
[1037.8s-1039.3s] 我觉得应该不会有的
[1039.3s-1040.7s] 扣个酒看看有没有
[1044.0s-1044.8s] 扣个酒
[1045.2s-1046.5s] 我看一下有没有
[1046.9s-1049.0s] 炒股时间在半年以内的
[1049.0s-1049.5s] 有没有
[1054.0s-1054.9s] 我还真有
[1054.9s-1055.5s] 我靠
[1055.9s-1056.6s] 一个
[1057.5s-1058.4s] 杨惠仪
[1059.2s-1060.2s] 两个
[1060.9s-1061.8s] 旺财
[1063.7s-1064.2s] 采旺
[1064.2s-1064.9s] 采旺
[1065.1s-1066.2s] 旺财都来了
[1069.9s-1070.6s] 这么多
[1070.6s-1072.4s] 还真有这么多半年以内了
[1072.4s-1073.3s] 辛苦面
[1075.6s-1076.6s] 哎呀
[1077.1s-1078.5s] 你看老粉就跟你们说了
[1078.5s-1079.6s] 运气这么好
[1079.9s-1081.9s] 得少走多少弯路
[1081.9s-1083.3s] 直接到了直播间
[1084.7s-1085.7s] 你们多幸福
[1086.1s-1087.4s] 不用学KDG
[1087.4s-1089.1s] 不用学MACD
[1089.1s-1090.7s] 不用学什么老丫头
[1090.7s-1092.2s] 不用学什么布林轨
[1092.2s-1093.5s] 不用学缠论
[1093.5s-1094.7s] 直接进来就知道
[1094.7s-1096.7s] 股市交易的核心底层是什么
[1098.3s-1099.7s] 我还满足了
[1099.7s-1101.5s] 我没想到还有十几个人
[1109.0s-1110.1s] 我靠真可以
[1112.4s-1113.0s] 我也觉得
[1113.1s-1114.6s] 这曹谷时间这么短
[1114.6s-1116.6s] 能到我直播间来听的
[1116.6s-1117.8s] 其实是蛮少的
[1117.8s-1119.9s] 因为一般的人都听不太懂
[1119.9s-1121.5s] 你们大概率是在
[1121.5s-1123.4s] 其他领域都是比较成功的人
[1126.3s-1129.2s] 你们大概率是在其他领域比较成功的人
[1129.4s-1131.5s] 像我们直播间一般都是高知
[1131.9s-1133.7s] 我以前我以前跟你们讲过
[1133.7s-1134.4s] 很多老粉都知道
[1134.4s-1137.3s] 我的直播间几类画像特别多
[1137.4s-1138.0s] 第一
[1138.2s-1139.3s] 高知群体
[1139.7s-1140.6s] 老师
[1140.7s-1141.7s] 公务员
[1142.0s-1143.9s] 然后大学的教授
[1144.6s-1146.0s] 这一类医生
[1147.6s-1148.4s] 非常多
[1150.0s-1150.6s] 非常多
[1150.6s-1151.5s] 这是第一类
[1151.8s-1152.8s] 这是第一类
[1153.2s-1154.8s] 然后第二类是什么
[1155.6s-1156.5s] 有能力的人
[1156.5s-1158.0s] 商业上面比较牛逼的人
[1158.0s-1159.9s] 在自己的领域比较厉害的人
[1159.9s-1160.8s] 拿到结果的人
[1160.8s-1161.6s] 这是第二类
[1161.6s-1162.5s] 第三类人
[1163.5s-1164.3s] 比较优秀的
[1164.3s-1165.6s] 读书比较好的学生
[1167.4s-1168.9s] 这三类群体
[1169.1s-1172.0s] 是我所有的粉丝画像里面
[1172.2s-1172.8s] 最多的
[1173.2s-1175.0s] 最多的大概占80%
[1175.0s-1176.2s] 然后其余20%
[1176.2s-1178.3s] 可能是靠什么书翻的颜值
[1178.6s-1179.3s] 靠什么
[1179.7s-1181.9s] 我的霸气
[1182.7s-1184.0s] 进来的都有
[1184.0s-1186.3s] 但是前面几类是特别多的
[1186.3s-1187.5s] 所以我的粉丝
[1187.5s-1189.1s] 画像里面高知群体
[1189.1s-1190.7s] 我说的是高知不是高
[1190.7s-1192.9s] 就是知识大学文凭比较高
[1192.9s-1194.7s] 不是这个高知是高认知群体
[1194.7s-1195.5s] 会比较多
[1196.9s-1199.5s] 高认知群体会比较多
[1199.8s-1206.5s] 你们知道吗
[1206.5s-1208.8s] 我每一晚都是跪着拿着手机听的
[1209.6s-1210.4s] 笑死
[1210.4s-1211.6s] 不至于不至于
[1212.3s-1213.8s] 我给你买个凳子借过去
[1213.8s-1214.1s] 好吧
[1214.1s-1215.3s] 你坐着
[1217.3s-1218.3s] 你坐着听
[1220.0s-1221.7s] 五年老粉羡慕心粉
[1222.9s-1223.5s] 好
[1223.7s-1227.3s] 那么这里我就指数这里阶段
[1227.3s-1228.9s] 我就跟大家讲的比较明确了
[1228.9s-1229.8s] 幸运的是什么
[1229.8s-1230.7s] 这一轮指数行情
[1230.7s-1232.0s] 大家会觉得比较强悍
[1232.0s-1234.2s] 是因为我们的指数一直没有出空
[1235.0s-1237.1s] 你们有没有发现我们的折拾系统
[1237.3s-1238.8s] 一直没有出空
[1239.8s-1241.1s] 一直没有出空
[1241.1s-1243.2s] 所以感受上面来说
[1243.2s-1244.8s] 因为我们只玩AI
[1244.8s-1247.1s] 所以我们的感官是比较舒服的
[1248.1s-1249.8s] 我们的感官是比较舒服的
[1249.8s-1251.3s] 但是也免不了
[1251.3s-1253.0s] 它现在是一个正当行情
[1253.6s-1255.4s] 我刚才跟你们举到了一个今天
[1255.4s-1256.2s] 有一个特别明显
[1256.2s-1258.5s] 今天的指数跟个股一样
[1259.4s-1260.4s] 波动力
[1260.6s-1261.6s] 波动率
[1263.1s-1267.5s] 巨大
[1267.5s-1268.1s] 能懂吗
[1268.1s-1270.2s] 波动率巨大
[1270.2s-1271.5s] 你们去看今天的指数
[1271.5s-1274.8s] 如果今天你是一天细心的在看盘的人
[1274.9s-1276.8s] 你就会发现指数上串
[1276.8s-1278.5s] 下跳上串
[1278.5s-1280.1s] 下跳再拉回
[1280.5s-1283.9s] 它今天是有这么一个人下上下
[1284.8s-1285.5s] 再拉回
[1286.6s-1288.8s] 所以现在的波动力是非常大的
[1289.1s-1290.3s] 波动力是非常大的
[1290.3s-1291.9s] 但是很多人在我们直播间
[1291.9s-1293.6s] 很多人已经感官上面已经
[1293.6s-1295.6s] 感觉适当行情好像很好似的
[1295.8s-1297.7s] 那是因为我们选的票牛逼
[1298.7s-1300.5s] 咱要稍微客观一点好吗
[1300.5s-1301.4s] 你去想想看
[1301.4s-1302.9s] 如果你还在得名里
[1303.3s-1304.8s] 还在摆为存储
[1305.0s-1306.9s] 你还会有这种感官吗
[1309.0s-1311.4s] 是我们票切换的牛逼
[1311.4s-1312.4s] 有没有发现
[1313.3s-1314.7s] 我们是很客观的讲
[1314.7s-1316.1s] 从第一波东山经历
[1316.1s-1317.8s] 拿到了最核心的龙头
[1317.9s-1319.2s] 涨幅60%
[1319.2s-1320.6s] 到这里平移倡位
[1320.6s-1323.2s] 又拿到了超级牛逼的龙头
[1323.2s-1324.9s] 海光跟得名力
[1325.0s-1326.2s] 又迟到这一波以后
[1326.2s-1328.4s] 又它妈换到了照义创新
[1330.2s-1332.3s] 又它妈换到了照义创新
[1332.5s-1334.5s] 有没有发现在每一个阶段
[1334.5s-1336.6s] 我们手上切过去的标的
[1336.9s-1338.4s] 都是整个市场当中
[1338.4s-1340.2s] 那个最亮眼的仔
[1344.4s-1345.1s] 发现没
[1345.7s-1347.5s] 所以不要被这种假象给迷
[1347.5s-1349.2s] 我们要去看一个客观事实
[1349.8s-1350.7s] 牛的就是牛的
[1350.7s-1351.7s] 选的不好就是选
[1351.7s-1352.5s] 选的好就是选的好
[1352.5s-1353.5s] 选的不好就是选的不好
[1354.0s-1355.0s] 其实这一个阶段
[1355.0s-1356.5s] 没有你想象当中那么好做
[1356.8s-1357.6s] 如果你买的
[1357.6s-1358.7s] 你还是在得名力
[1358.7s-1361.0s] 有些人还是在老三样里面
[1361.2s-1362.1s] 什么得名力
[1362.5s-1363.3s] 在什么
[1363.8s-1365.2s] 摆维在江坡龙上面
[1365.2s-1366.3s] 你就不舒服了
[1368.5s-1369.0s] 对不对
[1369.0s-1370.9s] 是因为我们切换的票牛逼
[1370.9s-1372.0s] 所以你都敢说是
[1372.0s-1373.2s] 哇靠市场好好
[1373.2s-1374.1s] 市场好强
[1374.4s-1375.5s] 不是这样子的
[1379.2s-1379.8s] 能懂吗
[1379.8s-1380.7s] 不是这样子
[1380.9s-1382.0s] 所以这个点
[1382.0s-1383.2s] 大家要能够理解
[1383.2s-1385.3s] 都客观的去给出一个评价
[1386.0s-1387.8s] 软件选的票也很牛逼
[1388.1s-1395.5s] 目前来说
[1395.5s-1396.7s] 我印象当中
[1396.7s-1398.8s] 好像我们的票是百分之百胜率
[1401.3s-1402.4s] 我印象当中
[1403.2s-1406.2s] 有没有票从我分享的票
[1406.6s-1408.2s] 惠米的有吗
[1411.2s-1412.3s] 我确实记不起来
[1412.3s-1413.2s] 我问一下大家
[1413.5s-1415.8s] 我印象当中这一波有点风神
[1416.6s-1418.6s] 好像618有一波续卡
[1421.0s-1422.1s] 你们这一点点的
[1422.1s-1423.0s] 前面干嘛不是
[1424.4s-1424.8s] 有吗
[1424.8s-1426.1s] 我确实有点没印象的
[1426.1s-1427.9s] 就是我印象当中是百分百
[1429.5s-1431.2s] 我印象当中是百分百
[1437.2s-1438.7s] 三花也是赚钱的
[1439.0s-1440.7s] 阳光电源也是赚钱的
[1442.3s-1443.7s] 阳光电源也是赚钱的
[1443.7s-1444.2s] 卖掉的时候
[1444.2s-1444.9s] 赚三个点
[1444.9s-1446.0s] 我印象非常深
[1446.7s-1448.2s] 三花也是赚钱的
[1450.0s-1451.5s] 第一次进小花的时候
[1451.5s-1453.0s] 亏了三个点印象当中
[1454.1s-1455.8s] 后来三花又涨回来了
[1463.5s-1465.4s] 跨年之前我没有分享过票
[1466.4s-1467.8s] 对
[1467.8s-1471.7s] 三花的第一次我们去玩的时候
[1471.7s-1473.1s] 后面三花又涨回来了
[1474.0s-1475.2s] 后面进场三花的时候
[1475.2s-1476.0s] 他又涨起来了
[1477.3s-1477.9s] 是的
[1477.9s-1478.6s] 非常客观
[1479.1s-1480.7s] 是事实就是事实
[1480.9s-1483.1s] 三花我们当时确实是有
[1483.8s-1485.7s] 直损线割掉的
[1486.4s-1487.4s] 直损线割掉的
[1487.6s-1488.6s] 它是触及到的直损
[1488.6s-1489.0s] 有
[1489.8s-1492.8s] 那么就是从过年回来以后
[1493.6s-1497.5s] 所有的票里面就一个三花
[1501.3s-1501.7s] 对
[1501.7s-1502.3s] 是的
[1502.6s-1503.1s] 没毛病
[1503.1s-1503.3s] 没有
[1503.3s-1504.4s] 我确实想不起来了
[1506.6s-1506.9s] 是的
[1506.9s-1508.2s] 直损盘49.9
[1508.2s-1509.0s] 我有印象
[1509.8s-1511.0s] 只有这一个标的
[1511.3s-1513.8s] 其余都是滚刀肉
[1515.0s-1516.1s] 都是20个点
[1516.1s-1516.7s] 30个点
[1516.7s-1517.5s] 50个点
[1517.7s-1518.5s] 60个点
[1519.2s-1519.9s] 20个点
[1519.9s-1520.5s] 30个点
[1520.5s-1521.2s] 50个点
[1521.2s-1522.5s] 60个点起步的这种
[1524.6s-1524.8s] 好
[1524.8s-1525.4s] OK
[1526.1s-1527.0s] OK
[1527.2s-1528.7s] 那确实是这么一个情况
[1529.6s-1530.3s] 刚才我讲过
[1530.3s-1531.8s] 个骨我们放到最后去说
[1533.4s-1534.4s] 相近很
[1535.0s-1535.8s] 不晚
[1536.3s-1536.8s] 来
[1537.0s-1537.8s] 来
[1537.8s-1539.2s] 那么指数环境这里
[1539.2s-1540.0s] 我给你们讲明白了
[1540.0s-1541.4s] 大家把阶段搞明白就好
