[1.9s-177.8s] OK 来吧 又是开开星星的一天没有办法
[177.8s-179.6s] 市场就是这么的牛逼
[813.3s-815.6s] 今天也不在开心的日子
[815.6s-817.3s] 也不再过多的说你们
[817.8s-819.3s] 软件的强大
[819.3s-821.0s] 以及我们直播间的强大
[821.0s-823.2s] 我们内部的也不用再吹牛逼了
[823.2s-825.4s] 大家心里每滋滋就可以了
[825.5s-827.2s] 现在你们出去
[827.5s-830.1s] 都已经帮我把屠子屠孙都已经收好了
[830.6s-831.9s] 你们每一个现在
[831.9s-834.1s] 都是在外面都已经很装逼了
[834.3s-835.9s] 我已经看到好多了
[836.5s-839.4s] 我的朋友给我发了一条信息说
[839.8s-841.2s] 他给我发了一条条看
[841.2s-842.8s] 我的心意现在不得了
[844.3s-846.9s] 怎么外面有这么多你的屠子屠孙
[850.4s-852.5s] 他说我进了一个群里面说
[852.5s-854.0s] 我是心仪老师的铁纹
[854.0s-854.7s] 或者
[855.3s-857.6s] 你有这么多屠子屠孙
[858.6s-860.1s] 我出去已经是
[860.1s-861.8s] 你出去已经是古神了
[869.5s-869.8s] 好了
[869.8s-871.7s] 那么我们回归到我们的
[872.5s-873.0s] 盘面
[873.5s-874.2s] 来OK
[874.2s-875.6s] 来给大家回归一下
[875.6s-876.2s] 回顾一下
[877.1s-878.4s] 那么昨天我跟来
[878.4s-879.3s] 我们先来回顾一下
[879.3s-880.3s] 昨天跟推演的时候
[880.3s-881.5s] 其实有一个非常重要的一点
[881.5s-882.8s] 我昨天一直跟你们讲过
[882.8s-885.3s] 今天收盘这根K线比较重要
[885.7s-887.9s] 今天收盘这根K线会决定
[888.1s-889.4s] 明天今天晚上
[889.4s-891.0s] 就是明天是否是变盘日
[891.6s-894.3s] 今天如果收盘价低于
[894.5s-895.8s] 我们昨天的收盘价
[895.8s-897.4s] 那接下来就要当心了
[897.4s-899.8s] 如果收盘价高于昨天的收盘价
[899.8s-900.4s] 那么
[900.7s-901.6s] 没有任何问题
[901.6s-902.9s] 他现在不是高于
[903.1s-905.2s] 是平均股价直接反包
[906.8s-909.0s] 直接反包
[909.4s-910.8s] 所以接下来
[911.0s-912.0s] 又安全了
[912.9s-913.9s] 又安全了
[913.9s-915.2s] 那么对于我们而言
[915.2s-916.3s] 就是继续躺好
[916.3s-918.1s] 变盘日往后推演了
[919.7s-920.3s] 好吗
[920.3s-922.4s] 明天哪怕出转也问题不大
[924.5s-926.1s] 明天是不可能出空的
[926.3s-926.5s] 对
[926.5s-927.5s] 很多人已经推举过了
[927.5s-928.1s] 非常优秀
[928.5s-931.1s] 很多人已经把我们这套折拾系统
[931.1s-933.4s] 用的66666了
[933.8s-934.8s] 非常nice
[935.0s-936.6s] 现在你们能明白了吧
[937.2s-939.4s] 为什么你以前你们拿不住股票
[939.4s-941.8s] 为什么你们总是吃了三瓜两枣
[942.2s-943.7s] 就是卖飞
[943.9s-945.1s] 其实本质原因
[945.1s-947.3s] 不是因为你们心态不好卖飞
[947.3s-948.8s] 本质原因是因为什么
[949.0s-950.7s] 你们没有一个标准
[950.9s-951.9s] 你们不知道
[951.9s-953.7s] 接下来大盘会怎么样子
[954.1s-956.4s] 你们不知道未来可能会发生什么
[956.4s-957.5s] 你们很害怕
[957.5s-958.7s] 所以你卖掉了
[958.7s-959.8s] 这是能力问题
[960.2s-961.6s] 它不是心态问题
[961.9s-964.1s] 但是有了这款折拾系统以后
[964.1s-966.3s] 你会发现每天你可以提前推算的时候
[966.3s-968.3s] 你就心里面有底了
[968.5s-970.9s] 有底了以后你就会有明确的卖点
[971.3s-973.1s] 这个时候如果你不小心卖掉了
[973.1s-974.1s] 那是心态问题
[974.4s-975.3s] 认知问题
[975.8s-977.2s] 那个时候是能力问题
[977.2s-978.8s] 现在有了这个折拾系统以后
[978.8s-981.2s] 能力的问题软件帮你解决掉了
[981.6s-983.7s] 所以接下来的都是你的心态问题
[984.6s-985.1s] 能懂吗
[985.1s-986.5s] 这两个底层原因
[986.5s-987.7s] 导致你卖飞的原因
[987.7s-988.5s] 它是不一样的
[990.6s-991.6s] 它是不一样的
[993.4s-994.6s] 听你的课后
[994.7s-995.6s] 已经好一些了
[995.6s-997.6s] 江波龙德明利已经拿了好久了
[997.6s-999.1s] 我实话跟你们说
[999.1s-1000.5s] 我有很多粉真的
[1000.5s-1002.0s] 以前都没怎么赚过钱
[1002.6s-1004.1s] 自从到了我们直播间以后
[1004.1s-1006.6s] 他第一次体会到人生赚钱的快乐
[1007.5s-1009.7s] 然后我们直播间有很多老粉
[1009.7s-1012.2s] 从来没有重仓躺平赚过钱
[1012.6s-1014.1s] 终于在直播间
[1014.1s-1016.7s] 重仓躺平了一轮主声行情
[1016.9s-1018.9s] 他这是他的人生处女第一次
[1022.4s-1023.0s] 你们懂吗
[1023.0s-1024.5s] 这是他的人生处女第一次
[1024.5s-1025.3s] 白天看软件
[1025.3s-1026.2s] 晚上听老大直播
[1026.2s-1027.2s] 还要动什么脑子
[1027.2s-1028.4s] 你是聪明的人
[1029.3s-1030.6s] 懂得解释
[1032.5s-1034.5s] 我就是其中一个姚哥也在
[1036.9s-1037.7s] 姚哥也在
[1040.6s-1042.3s] 真的以前都没有赚过什么钱
[1042.3s-1043.4s] 我知道有很多人
[1043.7s-1044.8s] 有就是这两大类
[1044.8s-1045.8s] 以前真没怎么赚过钱
[1045.8s-1047.0s] 这次终于赚到钱了
[1047.0s-1047.7s] 很开心
[1048.0s-1050.1s] 还有一类是以前从来没有重仓
[1050.1s-1050.7s] 持股
[1051.1s-1052.5s] 赚过很多钱过的人
[1052.5s-1053.9s] 这一次终于体会到了
[1054.2s-1055.4s] 这是两大类
[1055.4s-1056.7s] 真的很多很多
[1056.7s-1058.4s] 第二类老粉比较多
[1058.4s-1059.7s] 第一类新粉比较多
[1065.7s-1066.3s] 对吧
[1066.5s-1068.5s] 现在都不怎么副盘了
[1069.0s-1069.8s] 你们还
[1069.9s-1070.8s] 我说句实话
[1070.8s-1072.3s] 听完我的直播以后
[1072.3s-1073.8s] 确实你们已经基本上
[1073.8s-1075.0s] 稍微负一下就好了
[1075.0s-1075.9s] 主要是
[1076.1s-1077.7s] 副盘主要的作用是什么
[1077.7s-1078.8s] 给你们定心
[1078.8s-1080.2s] 就是明确交易计划
[1080.2s-1082.0s] 第二天不至于下这包乱搞
[1083.3s-1083.8s] 能懂吗
[1083.8s-1085.3s] 现在真的重仓也不恐慌了
[1085.3s-1086.2s] 对 就是这样子
[1087.7s-1088.1s] 好吧
[1088.1s-1089.5s] 那么我们每一天的标准
[1089.5s-1090.2s] 都是很明确的
[1090.2s-1090.8s] 来 听清楚
[1090.8s-1092.0s] 我现在要跟你们这么讲了
[1092.0s-1093.0s] 因为新粉朵
[1093.1s-1094.9s] 明天不用判断指数
[1095.5s-1096.2s] 求求了
[1097.2s-1099.2s] 昨天刚跟你们讲过收盘去看
[1099.2s-1100.6s] 收盘价是否高于
[1100.7s-1101.7s] 昨天的收盘价
[1101.7s-1102.9s] 我讲的这么明确
[1103.3s-1104.8s] 老婆在追我续费了
[1106.8s-1107.6s] 能懂吗
[1107.6s-1108.6s] 昨天跟你们这么明确
[1108.6s-1110.3s] 我发现居然还有人听不懂
[1110.3s-1111.3s] 我真的裂开了
[1111.3s-1111.8s] 真的裂开
[1111.8s-1112.8s] 那我今天就这么说了
[1112.8s-1114.8s] 明天咱指数就不用去观察了
[1115.2s-1116.5s] 变盘日往后延
[1117.5s-1119.4s] 好吧 变盘日往后延
[1120.0s-1121.7s] 那么今天创业版
[1122.2s-1124.8s] 也完成了我跟大家说的这一波
[1125.9s-1126.7s] 主声浪
[1127.2s-1130.3s] 创业版会破历史新高
[1131.2s-1134.9s] 给到的预判也实现了
[1136.0s-1138.9s] 所以你们一定要记住了
[1138.9s-1141.1s] 新意的性格和书番的性格
[1141.1s-1142.9s] 我们都属于那种严谨
[1143.8s-1144.9s] 标准化
[1145.1s-1146.4s] 纯理功科男
[1146.8s-1149.8s] 所以我们不会随随便便跟你们去瞎说
[1151.9s-1152.5s] 你们懂吗
[1152.5s-1154.5s] 不会随便我们说创业版去见底
[1154.5s-1155.9s] 一定是有一定的依据
[1155.9s-1157.1s] 然后做出这个判断
[1157.1s-1159.1s] 不是说这个判断百分之百能实现
[1159.1s-1161.2s] 但我们觉得是大概率就是会实现的
[1161.7s-1162.6s] 它又实现了
[1162.9s-1163.8s] 3月份的时候
[1163.8s-1164.5s] 我告诉过你们
[1164.5s-1165.5s] 4月份5月份
[1165.5s-1166.9s] 4月份会有的行情
[1167.3s-1168.5s] 4月份行情有了
[1169.0s-1169.8s] 3月份的时候
[1169.8s-1171.5s] 告诉过你们4 5月份的行情
[1171.5s-1173.5s] 应该是围绕着大票大容量
[1174.0s-1175.5s] 是不是又围绕着大票
[1175.8s-1177.6s] 我们不会去瞎说
[1177.6s-1179.6s] 你看行情没有的时候
[1179.6s-1180.9s] 我就跟你们说空舱
[1180.9s-1182.7s] 前面行情3月份是不是很差
[1182.8s-1184.0s] 我说你这么努力干嘛
[1184.0s-1185.8s] 那没有行情
[1185.8s-1186.9s] 我跟你讲什么
[1187.0s-1188.6s] 一定要给你们去讲一个方向
[1188.6s-1189.6s] 没有这个必要
[1190.1s-1192.0s] 说明你们一定要了解我的性格
[1192.0s-1193.0s] 尤其是新粉
[1194.8s-1196.5s] 我们这种理工科男
[1197.4s-1199.3s] 我理中是非常好的
[1199.3s-1200.5s] 我数学是非常好的
[1201.1s-1203.0s] 我就这么两门课基本上都是满分的
[1203.1s-1206.2s] 所以我是自追求于标准化
[1206.5s-1207.8s] 和确定性的一个人
[1208.8s-1209.6s] 你们懂吗
[1210.1s-1212.9s] 所以不会在直播间瞎讲一些屁话
[1213.3s-1214.5s] 也不会为了直播
[1214.5s-1215.7s] 还讲一些无效的内容
[1215.7s-1216.6s] 没有这个必要
[1217.3s-1218.3s] 没有这个必要
[1221.6s-1223.7s] 所以稍微注意一下
[1223.7s-1224.5s] 稍微注意一下
[1224.5s-1225.3s] 一定要在直播间
[1225.3s-1227.0s] 每天都要去听的仔细
[1227.7s-1228.5s] 来
[1230.5s-1231.1s] 来
[1231.1s-1233.0s] 我们先来指数则实系统
[1233.0s-1233.9s] 我跟你们讲明白了
[1233.9s-1234.6s] 现在
[1234.6s-1236.4s] 因为今天这根反包大阳线
[1236.4s-1237.6s] 其实是超越期的
[1237.9s-1239.5s] 其实是非常超越期的
[1239.5s-1241.7s] 那么在这里明天不可能出现空了
[1241.9s-1243.1s] 所以就意味着
[1243.1s-1245.1s] 我们的变盘日往后延了
[1246.2s-1248.1s] 我们的变盘日往后延了
[1248.1s-1249.5s] 所以指数则实系统
[1249.5s-1250.9s] 这边你又不用去管它了
[1251.4s-1252.4s] 又不用去管它了
[1252.4s-1253.2s] 我们还是
[1253.5s-1255.4s] 之前的逻辑叫做继续躺好
[1258.8s-1259.7s] 继续躺好
[1259.7s-1260.6s] 能明白吗
[1262.2s-1262.7s] 好
[1265.4s-1266.7s] 老公买的软件送我
[1266.7s-1267.4s] 现在赚钱了
[1267.4s-1268.8s] 他让我自己续费
[1270.0s-1270.8s] 就是
[1271.3s-1271.9s] OK
[1272.3s-1274.3s] 这是我们的指数则实系统
[1274.3s-1276.1s] 先给大家吃个定心丸
[1276.4s-1278.5s] 那么大家不用过多去关注
[1278.5s-1280.3s] 指数层面的设
[1280.6s-1282.5s] 因为我们的变盘日往后延了
[1282.9s-1283.7s] 第二个
[1285.6s-1286.3s] 板块
[1288.8s-1289.3s] 来
[1290.9s-1292.9s] 你们还有什么话要说
[1296.1s-1298.6s] 当然板块这一次的主线
[1298.7s-1302.2s] 是我我主观给你们标好的
[1302.4s-1303.7s] 我主观给你们选的
[1303.7s-1304.7s] 还要怎么说
[1308.5s-1310.8s] 当时存储芯片调整的时候
[1311.0s-1312.0s] 有多少人
[1312.4s-1313.5s] 基督咕嚕
[1313.5s-1315.0s] 现在你们反观去看
[1320.1s-1322.4s] 三阶段的主线
[1323.1s-1325.0s] 跟你们说过是半导体设备
[1325.7s-1326.7s] 存储芯片
[1327.6s-1328.8s] AI原材料
[1330.5s-1330.8s] 对吧
[1330.8s-1332.3s] 最强的一定是前两个
[1333.0s-1334.7s] 你看今天指数
[1334.7s-1338.1s] 今天这两个板块又拉伸
[1339.8s-1341.5s] 会不会延迟到7月份
[1341.5s-1342.1s] 不会
[1343.2s-1343.8s] 三阶段
[1343.8s-1345.1s] 今天这跟反包扬线
[1345.2s-1347.0s] 只能说是行情还能继续
[1347.0s-1348.9s] 但并不代表三阶段不会结束
[1350.0s-1353.2s] 理论上面这三阶段不会超过20号
[1359.0s-1359.8s] 你们懂吗
[1360.5s-1361.1s] 你们懂吗
[1361.1s-1364.0s] 理论上面三阶段这一波不会超过20号
[1364.8s-1365.3s] 很难
[1365.9s-1367.0s] 这种概率比较低
[1367.0s-1367.8s] 但是不重要
[1367.8s-1370.8s] 因为我们看我们有了指数则是系统以后
[1370.8s-1372.1s] 你不需要去推演未来
[1372.1s-1373.0s] 就很多人吃饱了
[1373.0s-1373.9s] 撑着没事情看
[1374.4s-1376.6s] 就比如说大概到几号
[1378.6s-1379.8s] 你是算命先生吗
[1380.6s-1382.2s] 就这个问题的意义是什么
[1382.2s-1383.4s] 毫无意义
[1383.8s-1385.2s] 难道你这一个礼拜
[1386.2s-1388.4s] 要到北极去了没有信号
[1391.3s-1391.9s] 是不是
[1392.4s-1394.2s] 难道你这个礼拜要到北极去了
[1394.2s-1395.3s] 那没有这个问题
[1395.3s-1396.5s] 你为什么要去纠结
[1396.8s-1398.2s] 三天五天以后的事
[1399.8s-1401.1s] 落地于交易
[1401.6s-1403.0s] 不要落地于那种
[1403.0s-1405.8s] 没有对交易有帮助的幻想
[1406.5s-1408.0s] 这个点一定要搞明白
[1408.3s-1410.0s] 我们所有的东西
[1410.0s-1412.9s] 我们所有的泽石环境主线
[1412.9s-1414.9s] 都是服务于我们实战的
[1416.6s-1418.4s] 比如说你去关心七天后
[1418.4s-1419.5s] 三阶段还在不在
[1419.5s-1421.0s] 你觉得这个话题有意思吗
[1421.0s-1421.8s] 一点意思都没有
[1421.8s-1422.2s] 对不对
[1422.5s-1424.1s] 他不能帮助你做什么交易
[1424.1s-1425.8s] 因为他根本就不可确定
[1427.6s-1428.8s] 他根本就不可确定
[1428.8s-1430.2s] 所以根本就不重要
[1430.8s-1433.2s] 我们只能说今天这跟杨鲜反报以后
[1433.8s-1435.1s] 变盘日延迟了
[1435.9s-1437.6s] 这两天一定是安全的
[1438.6s-1440.0s] 这两天一定是安全的
[1440.0s-1441.6s] 所以我们不用去看指数了
[1442.8s-1444.4s] 理解到这一层面就够了
[1444.4s-1446.2s] 因为对你的交易帮助已经够了
[1446.2s-1446.7s] 到位了
[1448.1s-1451.0s] 什么时候我们去检仓已经讲过了
[1451.3s-1452.6s] 大面积出现
[1452.6s-1453.7s] 大容量的标记
[1453.7s-1454.9s] 大面积出现大面
[1454.9s-1456.3s] 这是我们的一个检仓点
[1456.3s-1457.9s] 还有一个就是避检仓点
[1457.9s-1460.3s] 一旦指数则是系统出现空投信号
[1460.3s-1462.2s] 我们就立马把仓废降下来
[1463.3s-1464.4s] 然后第三句话
[1464.4s-1465.5s] 我跟你们讲过的
[1466.2s-1467.7s] 一个阶段只有
[1468.8s-1470.2s] 主线会贯穿
[1470.2s-1471.6s] 不可能说有好几
[1472.2s-1473.2s] 上阶段这个主线
[1473.2s-1474.0s] 下阶段换主线了
[1474.0s-1474.3s] 不会的
[1474.3s-1474.8s] 这句话
[1474.8s-1476.0s] 我给你们是不是强调我
[1476.0s-1477.6s] 一个阶段就是一条主线
[1478.7s-1479.8s] 我是了一条的意思
[1479.8s-1480.8s] 他会贯穿
[1481.2s-1482.1s] 你们看三阶段
[1482.1s-1483.5s] 主线一直都没有变货
[1483.5s-1485.5s] 一直给你们强调主线是半导体设备
[1485.5s-1486.1s] 纯主性变
[1486.1s-1487.8s] 主线是半导体设备纯主性变
[1487.8s-1489.2s] 主线是半导体设备纯主性变
[1489.2s-1490.8s] 我什么时候说过主线换了
[1492.2s-1493.2s] 补掌就是补掌
[1493.2s-1494.2s] 主线就是主线
[1495.5s-1496.2s] 正式求援
[1496.2s-1497.1s] 就是正式求援
[1497.1s-1497.9s] 替补求援
[1497.9s-1498.6s] 就是替补求援
[1498.6s-1499.6s] 昨天拿了这个案例
[1499.6s-1500.8s] 特意跟你们讲了
[1502.7s-1503.1s] 对吗
[1504.4s-1506.0s] 所以直播间没有废话
[1506.0s-1508.7s] 每一句话对于交易都非常重要
[1509.2s-1511.0s] 每一句话都会直接决定
[1511.0s-1512.8s] 你交易给你带来的收益
[1518.2s-1519.1s] 老大我们卖飞的
[1519.1s-1520.5s] 接下来我们应该该怎么办
[1520.5s-1522.2s] 你在一个错误的动作上面
[1522.2s-1522.8s] 问我怎么办
[1522.8s-1523.8s] 你告诉我怎么办
[1525.9s-1527.2s] 还好你非常的幸运
[1527.2s-1528.5s] 你还有一款软件
