[10.4s-209.7s] 哈喽大家晚上好啊
[775.1s-777.1s] 然后从德明利切出来以后又做了照益
[777.1s-779.1s] 又做了照益创新
[779.6s-781.6s] 不一样的
[781.6s-783.6s] 5万亿的估值照益占1.8%
[783.6s-785.6s] 你们知道是多少钱吗
[785.6s-789.0s] 900亿
[789.0s-791.0s] 900亿
[791.0s-797.4s] 这比投资占900亿意味着什么
[797.4s-799.4s] 对吧
[799.4s-801.4s] 所以很多东西
[801.4s-803.4s] 你是要自己去理解
[803.4s-805.4s] 结合盘面 结合时机 结合节点
[805.4s-807.4s] 再结合理解力
[807.4s-809.4s] 再结合市场的偏好
[809.4s-812.9s] 这个东西它就是一个一整套体系
[812.9s-814.9s] 最终形成了我们叫做
[817.3s-821.5s] 对市场的审美
[821.5s-823.5s] 刘亿飞
[823.5s-825.5s] 他就是刘亿飞
[825.5s-827.5s] 如花 他就是如花
[827.5s-829.5s] 我们不一定要有选到
[829.5s-831.5s] 刘亿飞的能力
[831.5s-834.8s] 但至少要有选到高远远的能力
[834.8s-836.8s] 能懂了吗
[836.8s-838.8s] 能理解了吗
[838.8s-840.8s] 要对市场有绝对的审美
[840.8s-842.8s] 对市场有绝对的审美
[842.8s-844.8s] 最后的胜负
[844.8s-846.8s] 我们只能交给市场
[846.8s-848.8s] 模式它的成功率
[848.8s-850.8s] 70%以上已经是逆天了
[850.8s-852.8s] 就很明显的告诉大家
[852.8s-854.8s] 就是模式的胜率
[854.8s-856.8s] 能到70%以上
[856.8s-858.8s] 你已经很逆天了
[858.8s-860.8s] 10个股票 你有7个是赚钱的
[860.8s-862.8s] 3个是亏钱的
[862.8s-864.8s] 其实你已经很牛逼了
[864.8s-866.8s] 这是一个客观数据
[866.8s-868.8s] 无论你是多顶尖的交易员
[868.8s-870.8s] 多顶尖的油资
[870.8s-872.8s] 多顶尖的公募私募
[874.8s-876.8s] 你的胜率能到70%
[876.8s-878.8s] 10个票里面赚7赔3
[878.8s-880.8s] 你绝对是一个模式
[880.8s-886.3s] 具牛逼的人
[886.3s-888.3s] 模式具牛逼的人
[888.3s-890.3s] 能懂吗
[890.3s-892.3s] 所以说我们只能通过我们一套体系
[892.3s-894.3s] 从则实
[894.3s-896.3s] 从选方向
[896.3s-898.3s] 再到选世界
[898.3s-900.3s] 再到背后的逻辑分析清楚以后
[900.3s-902.3s] 再到选个股
[902.3s-905.6s] 最后把胜负交给市场
[905.6s-909.3s] 最后把胜负交给市场
[909.3s-911.3s] 能懂吗
[911.3s-913.3s] 回归到我们的盘面
[913.3s-915.3s] 其实每一天跟大家拆解的
[915.3s-917.3s] 已经很详细了
[917.3s-919.3s] 还记得昨天跟你们讲的这句话吗
[919.3s-921.3s] 昨天跟你们讲过一句话叫做
[921.3s-923.3s] 这里80%
[923.3s-925.3s] 确认四阶段
[925.3s-927.3s] 四阶段的
[927.3s-929.3s] 涨幅基本上是
[929.3s-931.3s] 一阶段或者三阶段的
[931.3s-933.3s] 二分之一
[933.3s-935.3s] 知道这句话的含金量了吗
[935.3s-937.3s] 在每一个节点
[937.3s-939.3s] 当你们听到跟之前
[939.3s-941.3s] 有变化的时候
[941.3s-943.3s] 有变化的时候重要吗
[943.3s-947.7s] 你们去看
[947.7s-949.7s] 每一个节点去误
[949.7s-951.7s] 很多人都不知道学什么
[951.7s-953.7s] 去误
[953.7s-955.7s] 一轮空下来在这个节点告诉你们
[955.7s-957.7s] 四层仓位是错
[957.7s-959.7s] 在这个节点告诉你们
[959.7s-961.7s] 重仓满仓
[961.7s-963.7s] 接下来的节点告诉你们持股代长
[963.7s-965.7s] 在这个节点告诉你们
[965.7s-967.7s] 调仓换股
[967.7s-969.7s] 不要降仓位
[969.7s-971.7s] 这个节点告诉你们持股代长
[971.7s-973.7s] 享受三阶段
[973.7s-975.7s] 在这个节点告诉你们
[975.7s-977.7s] 要进入四阶段的调整
[977.7s-979.7s] 我们把仓位降下来
[979.7s-981.7s] 降到四层仓以内
[981.7s-983.7s] 在昨天这个节点
[983.7s-985.7s] 又告诉你们仓位可以到六层仓
[985.7s-987.7s] 享受五阶段
[987.7s-992.6s] 大概有80%的标准
[992.6s-994.6s] 进入五阶段
[994.6s-996.6s] 所以仔细去想一下
[996.6s-998.6s] 你们一定要在直播间去听变化的点
[998.6s-1000.6s] 前面一直在教你们持股代长
[1000.6s-1002.6s] 先告诉你们
[1002.6s-1004.6s] 要注意风险你们就要知道
[1004.6s-1008.1s] 风险一定逼近了
[1008.1s-1010.1s] 但是我们不清楚
[1010.1s-1012.1s] 具体是哪一天但我们知道风险来了
[1012.1s-1014.1s] 你看那天信号一出
[1014.1s-1016.1s] 我们就要开始检测
[1016.1s-1018.1s] 10.44分我就发朋友圈
[1018.1s-1020.1s] 对不对
[1020.1s-1022.1s] 然后前面这个节点
[1022.1s-1024.1s] 我们就保持四层仓位
[1024.1s-1028.0s] 在这边拿个视错仓
[1028.0s-1031.7s] 到昨天这个节点以后
[1031.7s-1035.4s] 我又告诉你们80%
[1035.4s-1037.4s] 对吧
[1037.4s-1039.4s] 对吧
[1039.4s-1041.4s] 所以你们整个去看
[1041.4s-1043.4s] 一定要在直播间听变化的过程
[1043.4s-1045.4s] 那么现在
[1045.4s-1047.4s] 五阶段我跟你们说过
[1047.4s-1049.4s] 今天这跟KCM一说基本上五阶段就
[1049.4s-1051.4s] 确立了
[1051.4s-1053.4s] 五阶段就确立了
[1053.4s-1055.4s] 那么我们静静的去躺着五阶段
[1055.4s-1057.4s] 但是我跟你们讲过五阶段
[1057.4s-1059.4s] 你们已经体会过了
[1059.4s-1063.2s] 给你们看过这个数据了
[1063.2s-1065.2s] 五阶段
[1065.2s-1067.2s] 是解构性牛市
[1067.2s-1069.2s] 现在都不能说
[1069.2s-1071.2s] 是解构性牛市
[1071.2s-1074.5s] 五阶段没有新高
[1074.5s-1076.5s] 那你等破新高
[1076.5s-1084.8s] 长到一半以后你再去追
[1084.8s-1086.8s] 好吗
[1086.8s-1092.3s] 等到五阶段长到破新高了以后
[1092.3s-1094.3s] 你再去追
[1094.3s-1096.3s] 还有一个
[1096.3s-1102.1s] 你们跟我谈五阶段
[1102.1s-1104.1s] 我好像印象当中在直播间
[1104.1s-1106.1s] 我还没有交过
[1106.1s-1108.1s] 一阶段二阶段
[1108.1s-1110.1s] 应该没有吧
[1110.1s-1112.1s] 你们
[1112.1s-1114.1s] 怎么粉丝怎么跟我讨论五阶段
[1114.1s-1116.1s] 你懂什么叫五阶段吗
[1116.1s-1121.6s] 你知道什么叫五阶段吗
[1121.6s-1123.6s] 你知道何为五阶段吗
[1123.6s-1125.6s] 我应该没有在直播间交过吧
[1125.6s-1127.6s] 所以应该没有人
[1127.6s-1129.6s] 现在可以跟我讨论
[1129.6s-1131.6s] 一阶段二阶段三阶段四阶段五阶段的所有话题
[1131.6s-1133.6s] 因为我从来没交过
[1133.6s-1135.6s] 这套体系是我定的
[1135.6s-1137.6s] 为我的交易
[1137.6s-1139.6s] 模型服务的
[1139.6s-1141.6s] 全中国只有这么一份
[1141.6s-1145.3s] 这个是不能乱揣头的
[1145.3s-1147.3s] 我跟你说不能瞎学的
[1147.3s-1149.3s] 所有的交易模型交易体系
[1149.3s-1151.3s] 都是为了自己的交易模式
[1151.3s-1156.6s] 做服务的
[1156.6s-1158.6s] 所以我从来没交过的东西
[1158.6s-1160.6s] 你们不要自己去瞎定义
[1160.6s-1162.6s] 在开始在定义五阶段要过新高了
[1162.6s-1164.6s] 我都闷了什么时候说过五阶段
[1164.6s-1166.6s] 要过新高才能确立五阶段
[1166.6s-1168.6s] 从始至终
[1168.6s-1173.3s] 任何一场直播我都没讲过
[1173.3s-1175.3s] 跟鼠浪一点关系都没
[1175.3s-1178.7s] 再跟你们说跟鼠浪一点
[1178.7s-1180.7s] 不要跟我扯什么波浪理论
[1180.7s-1182.7s] 我早就在
[1182.7s-1184.7s] 人生的第一场直播
[1184.7s-1186.7s] 或者说在新粉进来的每一场直播
[1186.7s-1188.7s] 都跟你们说波浪理论
[1188.7s-1190.7s] 残论这种扯弃者八的东西一点用都没有
[1190.7s-1194.2s] 毛线浪作为
[1194.2s-1196.2s] 我们的体系
[1196.2s-1198.2s] 就是服务于
[1198.2s-1200.2s] 基于责使系统
[1200.2s-1202.2s] 去判定
[1202.2s-1204.2s] 整一轮你可以把它理解为
[1204.2s-1206.2s] 这是一轮大的主声浪
[1206.2s-1208.2s] 只是在大的主声浪里面
[1208.2s-1210.2s] 我们去做一个细分的划分
[1210.2s-1212.2s] 因为这里的关键
[1212.2s-1214.2s] 比较重要有可能要调仓换股
[1214.2s-1216.2s] 有可能要检测处理
[1216.2s-1218.2s] 但实际上它就是一轮
[1218.2s-1221.9s] 主声浪里面
[1221.9s-1223.9s] 能理解吗
[1223.9s-1225.9s] 实际上就是在一轮主上
[1225.9s-1227.9s] 只是配合我们的指数择拾系统
[1227.9s-1229.9s] 去让我们理解
[1229.9s-1231.9s] 和布局去操作
[1231.9s-1239.3s] 能理解了吗
[1239.3s-1241.3s] 能懂了吗
[1241.3s-1243.3s] 这些东西都是在我们
[1243.3s-1245.3s] ai体系下和在我们的模式下
[1245.3s-1247.3s] 去应用的东西
[1247.3s-1250.6s] 你应用完之后发现非常的有效
[1250.6s-1252.6s] 可以这么理解
[1252.6s-1254.6s] 本质上面就是一种节奏
[1254.6s-1256.6s] 节奏
[1256.6s-1258.6s] 绝对不是画画线
[1258.6s-1260.6s] 画线有用的话还需要我们干吗
[1260.6s-1265.2s] 还需要职业交易员干吗
[1265.2s-1267.2s] 我说过了交易这件事情弄懂
[1267.2s-1269.2s] 则是弄懂主线
[1269.2s-1271.2s] 弄懂
[1271.2s-1273.2s] 赚钱效应在哪里
[1273.2s-1275.2s] 最后再做悬谷就完事了
[1275.2s-1276.2s] 这是核心
[1276.2s-1278.2s] 其他的都是没用
[1278.2s-1279.2s] 没有任何意义
[1279.2s-1281.2s] 我们只不过是在不停的在这些事情上面
[1281.2s-1283.2s] 去深究
[1283.2s-1285.2s] 去变成自己的交易计划
[1287.2s-1289.2s] 从来没有试过对一轮行情这么清晰过
[1289.2s-1291.2s] 当然
[1291.2s-1293.2s] 因为从来没有人
[1293.2s-1295.2s] 敢这样子分析
[1295.2s-1297.2s] 并且也从来没有人
[1297.2s-1299.2s] 能真正把
[1299.2s-1301.2s] 一轮主声行情
[1301.2s-1303.2s] 剖析到这种程度
[1303.2s-1305.2s] 我就可以这么说
[1305.2s-1307.2s] 不服你可以找任何一个直播界
[1307.2s-1309.2s] 任何一个人
[1309.2s-1311.2s] 对比我们
[1311.2s-1313.2s] 每一场视频直播的回放
[1313.2s-1315.2s] 而且我再告诉你们
[1315.2s-1317.2s] 我们能把这一轮主声浪做好
[1317.2s-1319.2s] 未来可以把所有的
[1319.2s-1321.2s] 主声浪做好
[1321.2s-1325.3s] 本质上面没有区别
[1325.3s-1327.3s] 能懂吗只不过是可能在下一轮
[1327.3s-1329.3s] 主声浪未必每一个节点节奏都有
[1329.3s-1331.3s] 那么好但不重要
[1331.3s-1333.3s] 就是在大的行情里面
[1333.3s-1335.3s] 小的一些细节哪怕没有小的
[1335.3s-1337.3s] 刚好采在了
[1337.3s-1339.3s] 另外的80%的胜利
[1339.3s-1341.3s] 20%的负面的
[1341.3s-1343.3s] 情况下
[1343.3s-1345.3s] 概率的情况下那又怎么样
[1345.3s-1348.7s] 它不会影响整体的大操作
[1348.7s-1350.7s] 能懂了吗
[1350.7s-1352.7s] 它不会影响整体的大操作
[1352.7s-1354.7s] 所以我跟大家说我们要高兴的是什么
[1354.7s-1356.7s] 我们要高兴的是
[1356.7s-1358.7s] 我们要高兴的是
[1358.7s-1360.7s] 模型能够不停复制
[1360.7s-1362.7s] 未来只要牛市还在
[1362.7s-1364.7s] 两年三年
[1364.7s-1366.7s] 在这两年三年12包行情也好
[1366.7s-1368.7s] 15包行情也好
[1368.7s-1370.7s] 我们未来还有12次机会
[1370.7s-1372.7s] 甚至15次机会
[1372.7s-1374.7s] 去做好所以你有什么好担心的呢
[1374.7s-1382.1s] 就是节奏感
[1382.1s-1384.1s] 你的节奏要跟市场
[1384.1s-1386.1s] 同频你就不会倒过来
[1386.1s-1387.1s] 你去看我
[1387.1s-1388.1s] 我昨天给你们举例的
[1388.1s-1390.1s] 阴陷进场超低的人
[1390.1s-1392.1s] 就是在昨天割掉了
[1392.1s-1394.1s] 割掉了以后市场开始涨起来
[1395.1s-1400.9s] 节奏做反的人他就不停的在亏钱
[1400.9s-1401.9s] 能懂吗
[1401.9s-1413.4s] 节奏做反的人他就不停的在亏钱
[1413.4s-1414.4s] OK
[1414.4s-1415.4s] 所以我们把这个阶段理解清楚
[1415.4s-1417.4s] 然后这里你就不需要去管了
[1417.4s-1418.4s] 反正就寄老一点
[1418.4s-1420.4s] 我们在这里
[1420.4s-1421.4s] 主要还是看卖点
[1421.4s-1424.4s] 后面五阶段什么时候卖
[1424.4s-1427.4s] 听清楚五阶段我们什么时候卖
[1427.4s-1429.4s] 当我们的
[1429.4s-1431.4s] K线出现
[1431.4s-1433.4s] 爆亮的阴陷
[1434.4s-1436.4s] 或者指数则是系统出现空
[1436.4s-1438.4s] 但一般情况下面
[1438.4s-1441.4s] 是我说的第一种情况会更早出现
[1441.4s-1443.4s] 当出现这种情况的时候
[1443.4s-1445.4s] 我们五阶段就撤退了
[1445.4s-1449.3s] 能懂吗
[1449.3s-1450.3s] 因为我跟你们说过
[1450.3s-1452.3s] 现在的五阶段的行情是
[1452.3s-1454.3s] 科技里面的结构性行情
[1454.3s-1455.3s] 听懂了吗
[1455.3s-1457.3s] 不是整个行情里面的结构性
[1457.3s-1459.3s] 上一轮一阶段三阶段我们叫做
[1459.3s-1462.3s] 结构性行情是整个大
[1462.3s-1464.3s] 整个市场里面五千多只个股
[1464.3s-1466.3s] 几百个板块里面我们叫
[1466.3s-1468.3s] 结构性行情
[1468.3s-1469.3s] 对不对
[1469.3s-1472.3s] 结构性在哪里做AI科技
[1472.3s-1475.3s] 我们就能赚到钱对不对
[1475.3s-1476.3s] 对不对好
[1476.3s-1477.3s] 现在就不一样了
[1477.3s-1478.3s] 现在是更难
[1478.3s-1480.3s] 在科技里面的结构性行情
[1480.3s-1482.3s] 所以我跟你们说过五阶段
[1482.3s-1484.3s] 它就是比较难做
[1484.3s-1485.3s] 为什么仓位我跟大家说
[1485.3s-1487.3s] 要空在六层以内
[1487.3s-1488.3s] 你不要觉得
[1488.3s-1490.3s] 我们选择造业超级牛逼
[1490.3s-1491.3s] 你就想早知道满仓了
[1491.3s-1493.3s] 刚你的脑海当中
[1493.3s-1496.3s] 来拿一个结果说话的时候
[1496.3s-1498.7s] 你就完蛋了
[1498.7s-1500.7s] 我们看到的是整个市场
[1500.7s-1502.7s] 在不同阶段的培律
[1502.7s-1504.7s] 在这个对应的培律下面
[1504.7s-1506.7s] 释放多少的仓位
[1506.7s-1509.7s] 相对来说叫做可攻可守
[1509.7s-1511.7s] 而不是以结果为导向
[1511.7s-1512.7s] 你买的票刚好涨了
[1512.7s-1513.7s] 哎呀你就想着满仓
[1513.7s-1514.7s] 哎呀早知道我满仓了
[1514.7s-1515.7s] 你的票跌了
[1515.7s-1516.7s] 然后你就说哎呀还好还好
[1516.7s-1517.7s] 仓位不中
[1517.7s-1518.7s] 那这样子就完蛋了
[1518.7s-1521.7s] 永远都是后视镜在炒股
[1521.7s-1522.7s] 我说了这个阶段
[1522.7s-1523.7s] 我们的核心目标
[1523.7s-1525.7s] 不是为了赚多少钱
[1525.7s-1527.7s] 是为了过了这个阶段以后
[1527.7s-1528.7s] 你发现你把这一轮
[1528.7s-1529.7s] 主声让的行情
[1529.7s-1532.7s] 钱全部都留下来了
[1532.7s-1535.7s] 这才叫真正牛逼的人
[1535.7s-1538.7s] 交易牛逼职业交易员
[1538.7s-1540.7s] 跟韭菜交易能力上面
[1540.7s-1541.7s] 最大的区别
[1541.7s-1543.7s] 从来都不是进攻力
[1543.7s-1546.7s] 而是防守力
[1546.7s-1549.7s] 能把这一轮主声行情
[1549.7s-1553.7s] 留下多少钱能够落带为安
[1553.7s-1557.7s] 这才是真正的强悍
[1557.7s-1560.6s] 能懂吗
[1560.6s-1562.6s] 所以我们的仓位是
[1562.6s-1563.6s] 严格控制
[1563.6s-1568.8s] 我们的仓位跟个股无关
[1568.8s-1569.8s] 我一直跟大家说过
[1569.8s-1571.8s] 仓位跟个股有什么关系
[1571.8s-1576.8s] 仓位永远只跟指数环境
[1576.8s-1578.8s] 和主线板块
[1578.8s-1581.8s] 阶段有关跟其他多无关
[1581.8s-1583.8s] 跟个股更没有关系
[1583.8s-1590.3s] 以个股定仓位那就完蛋了
[1590.3s-1591.3s] 以个股定仓位
[1591.3s-1593.3s] 那我们早就完蛋了
[1593.3s-1595.3s] 视线太狭隘了
[1595.3s-1596.3s] OK
[1596.3s-1597.3s] 好了
[1597.3s-1598.3s] 那么这里五阶段
[1598.3s-1600.3s] 我们就不用去多说了
[1600.3s-1602.3s] 现在我们就非常简单
[1602.3s-1603.3s] 对于我们来说
[1603.3s-1604.3s] 就去等卖出信号
[1604.3s-1605.3s] 因为今天
[1605.3s-1606.3s] 我昨天我跟你们讲过
[1606.3s-1607.3s] 加两层仓位
[1607.3s-1609.3s] 昨天还特意跟你们说了
[1609.3s-1611.3s] 实在选不出股票来
[1611.3s-1612.3s] 那你就选个
[1612.3s-1613.3s] 你选不出股票
[1613.3s-1614.3s] 那你就买个
[1614.3s-1616.3s] 芯片ETF
[1616.3s-1620.5s] 今天你又专了吗
[1620.5s-1622.5s] 是不是
[1622.5s-1624.5s] 是不是
[1624.5s-1626.5s] 当然聪明一点的人
[1626.5s-1628.5s] 我们手上还有两个个股呢
[1628.5s-1632.5s] 每个标地分一层仓也挺好
[1632.5s-1634.5s] 难道不是吗
[1634.5s-1635.5s] 这种东西
[1635.5s-1636.5s] 我不会跟你们讲那么明确
[1636.5s-1638.5s] 我觉得太幼儿园
[1638.5s-1639.5s] 对吧
[1639.5s-1642.5s] 是不是
[1643.5s-1646.5s] 所以昨天的策略
[1646.5s-1647.5s] 对于我们来说
[1647.5s-1648.5s] 又是叔叔服服的
[1648.5s-1649.5s] 那你去想想
[1649.5s-1651.5s] 你们去外面转一圈
[1651.5s-1652.5s] 去外面的直播间
[1652.5s-1653.5s] 转一圈去外面
[1653.5s-1655.5s] 外面已经漫天的哭声了
[1655.5s-1656.5s] 这一波行情
[1656.5s-1659.5s] 调整力度其实挺大的
[1659.5s-1660.5s] 做的好一不好
[1660.5s-1661.5s] 回彻有些人
[1661.5s-1662.5s] 我们直播间都有
[1662.5s-1663.5s] 有些人
