[13.5s-15.5s] 来 晚上好
[15.5s-38.0s] 稍等我把屏幕调一下
[305.8s-308.9s] 当然你大面积的票
[308.9s-309.9s] 肯定要去看
[309.9s-310.9s] 你拉一眼就知道了
[310.9s-311.9s] 跌幅榜负无以上的个股
[311.9s-312.9s] 你一瞄就知道了
[312.9s-313.9s] 但是主要是看到
[313.9s-315.9s] 中国长城这个死样子
[315.9s-316.9s] 你们懂吗
[317.9s-319.9s] 所以我说了一句叫做
[319.9s-320.9s] 狼是真的来了
[320.9s-322.9s] 那么今天这种调整
[323.9s-324.9s] 非常的距离
[324.9s-326.9s] 所以这种信号释放了
[326.9s-327.9s] 就意味着什么
[327.9s-328.9s] 我之前给你们讲过
[328.9s-330.9s] 叫做风险
[330.9s-332.9s] 大于机会的时刻来了
[333.9s-334.9s] 你们去看
[334.9s-336.9s] 很多票都很眼熟
[337.9s-338.9s] 很多票都很眼熟
[338.9s-339.9s] 你们去看
[340.9s-341.9s] 去看
[343.9s-344.9s] 这是商业航天的
[344.9s-345.9s] 中国卫星也停
[345.9s-347.9s] 中国长城我们更熟
[348.9s-349.9s] 盛阳这种短线票
[349.9s-350.9s] 我们就不去管他
[351.9s-352.9s] 往后拉
[353.9s-355.9s] 信维通信也是这种商业航天的
[356.9s-357.9s] 商业航天今天是
[357.9s-358.9s] 跌得是比较惨的
[358.9s-359.9s] 跌得是比较惨的
[360.9s-362.9s] 长川科技是科技股的
[362.9s-363.9s] 盛红科技
[363.9s-365.9s] 昨天涨的今天暴跌
[365.9s-366.9s] 通顶互联是光鲜的
[366.9s-369.9s] 深圳华强是芯片的
[369.9s-370.9s] 对吧
[370.9s-371.9s] 飞沃科技
[372.9s-374.9s] 云轮万维
[374.9s-375.9s] 博尔德
[376.9s-378.9s] 再往下看黄蓝色光彪
[379.9s-380.9s] 对不对
[381.9s-383.9s] 很多都是我们耳熟能详
[383.9s-384.9s] 耳熟能详的一些标的
[388.6s-389.6s] 对吧
[389.6s-390.6s] 我就不往后拉了
[390.6s-391.6s] 很多
[391.6s-392.6s] 所以你们会发现
[392.6s-394.6s] 就是今天市场
[394.6s-395.6s] 终于迎来了我们说的
[395.6s-396.6s] 我跟你们讲过
[396.6s-397.6s] 去猜顶
[398.6s-400.6s] 你总有一次是猜对的
[400.6s-403.8s] 对吧
[403.8s-405.8s] 中国长城还在
[406.8s-407.8s] 中国长城在不在
[407.8s-408.8s] 我不知道
[408.8s-409.8s] 但是中国长城是必须
[409.8s-411.8s] 要去看的一个风向标
[411.8s-413.8s] 中国长城反正都是赚钱的
[413.8s-414.8s] 中国长城
[414.8s-416.8s] 无论你用什么方式卖
[416.8s-417.8s] 这就是印证了
[417.8s-418.8s] 我之前跟大家讲过的
[418.8s-419.8s] 一句话来
[419.8s-420.8s] 你们看中国长城这个票
[421.8s-423.8s] 中国长城当时有几种
[423.8s-424.8s] 卖股方式
[424.8s-425.8s] 你们还记得吗
[425.8s-427.8s] 当时有人是这种
[427.8s-428.8s] 用短线的方式去卖的
[428.8s-429.8s] 当时还记得吗
[429.8s-430.8s] 30分钟不上水
[430.8s-432.8s] 部分人是这一天走了
[432.8s-434.8s] 有部分人是按5日线
[434.8s-435.8s] 跌破走的
[435.8s-436.8s] 你们去看
[436.8s-438.8s] 那他就是今天是卖点
[438.8s-439.8s] 有没有发现5日线
[439.8s-441.8s] 跌破去走的人也好
[441.8s-442.8s] 还是用30分钟
[442.8s-443.8s] 不上水的人
[443.8s-444.8s] 最终他们卖的价格
[444.8s-445.8s] 其实差不多
[450.0s-451.0s] 是不是
[451.0s-452.0s] 是不是
[452.0s-454.0s] 所以我跟你们说过卖股
[454.0s-455.0s] 就是只有韭菜
[455.0s-456.0s] 才会去想着
[456.0s-457.0s] 天天在做梦
[457.0s-458.0s] 后事进去看
[458.0s-459.0s] 卖在哪个点
[459.0s-460.0s] 卖在哪个点
[461.0s-462.0s] 你只要执行自己的
[462.0s-463.0s] 交易计划就好了
[463.0s-464.0s] 就这个标记最终下来
[464.0s-465.0s] 你们会发现
[465.0s-466.0s] 其实无论你是
[466.0s-468.0s] 用短线的方式去卖掉
[468.0s-471.0s] 还是用破5日线的方式
[471.0s-472.0s] 去卖掉
[472.0s-474.0s] 你会发现一个线下就是
[474.0s-475.0s] 其实你们最终的结果
[475.0s-477.0s] 卖的都差不多
[477.0s-478.0s] 只是这个标记
[478.0s-479.0s] 只是这个标记
[479.0s-480.0s] 但是比如说
[480.0s-482.0s] 像德明利就不一样了
[483.0s-484.0s] 比如像德明利就不一样了
[484.0s-486.0s] 德明利坚守住
[486.0s-487.0s] 没有卖点
[487.0s-488.0s] 他没有出现
[489.0s-490.0s] 像今天这种卖点
[490.0s-491.0s] 去卖掉的人
[491.0s-493.0s] 跟5日线去跌破卖掉的人
[493.0s-495.0s] 那可能就会有区别了
[496.0s-497.0s] 就会有区别了
[498.0s-499.0s] 能理解
[499.0s-500.0s] 所以说
[500.0s-502.0s] 不要去纠结卖点
[502.0s-503.0s] 我还是那句话叫做
[503.0s-505.0s] 买入的那一刻
[505.0s-507.0s] 已经把卖股计划定好了
[507.0s-509.0s] 那比如说像这个
[509.0s-510.0s] 三花
[510.0s-511.0s] 对吧
[511.0s-513.0s] 三花的卖点当时也讲得比较明确
[515.0s-516.0s] 49块9
[516.0s-517.0s] 今天跌破了
[518.0s-519.0s] 对不对
[519.0s-520.0s] 那风险大于机会了
[520.0s-522.0s] 理论上面就可以撤退
[523.0s-524.0s] 对吧
[524.0s-525.0s] 做补涨票
[525.0s-526.0s] 我就跟你们说过
[526.0s-528.0s] 不确定性会更高一些
[528.0s-529.0s] 这个是没有办法的
[529.0s-531.0s] 那么当然今天是谱跌
[533.7s-534.7s] 是不是
[534.7s-535.7s] 所以你们去看
[535.7s-536.7s] 所有的表现
[536.7s-537.7s] 你看像海光
[538.7s-539.7s] 像海光
[540.7s-541.7s] 今天去减掉
[541.7s-542.7s] 跟你这个位置去减掉
[542.7s-543.7s] 差不了太多
[544.7s-545.7s] 你懂了吗
[545.7s-546.7s] 我们只是在不停的博弈
[546.7s-548.7s] 风险和机会的这个问题
[548.7s-550.7s] 卖股你们永远要记了
[550.7s-551.7s] 不用去纠结
[551.7s-553.7s] 像我今天收到有一堆人
[553.7s-554.7s] 就有一堆人
[555.7s-557.7s] 再说如果在哪个点卖就好了
[557.7s-559.7s] 就是这种理解一定是不对的
[559.7s-560.7s] 这种理解是吧
[560.7s-564.7s] 我觉得我非常客观的说
[565.7s-567.7s] 难道在10点44分
[567.7s-568.7s] 这个点
[569.7s-571.7s] 我们逃跑
[571.7s-573.7s] 还不够牛逼吗
[573.7s-575.7s] 我们应该算是卖在了
[575.7s-576.7s] 最高点了吧
[576.7s-578.7s] 我说的最高点是在
[578.7s-580.7s] 实际的最高点
[580.7s-582.7s] 能理解这句话吗
[582.7s-585.6s] 能理解这句话吗
[585.6s-588.6s] 就是我们应该算是卖在了
[588.6s-589.6s] 实际的最高点
[589.6s-590.6s] 但至于大家手上的个股
[590.6s-591.6s] 比如是这样
[591.6s-592.6s] 一不小心选的得名力
[592.6s-593.6s] 就是这么牛逼
[593.6s-594.6s] 那这个没办法
[595.6s-596.6s] 对吧
[596.6s-598.6s] 那今天这种节点就是普遍的
[598.6s-599.6s] 我们选的票
[599.6s-601.6s] 就是有一个粉丝跟我说
[601.6s-603.6s] 他说老大你是不是在框我们
[603.6s-604.6s] 我说为什么框你们
[604.6s-605.6s] 他说你每次都说
[605.6s-608.6s] 大家选股能力是差不了太多的
[608.6s-611.6s] 你上次选了东山精灭
[611.6s-612.6s] 你的票就是涨的比较多
[612.6s-613.6s] 扛跌
[613.6s-614.6s] 这次你又选了得名力
[614.6s-615.6s] 你又说选
[615.6s-616.6s] 大家选股能力差不多的
[616.6s-617.6s] 我也没发现
[618.6s-619.6s] 我想说的是
[619.6s-621.6s] 我说的是直播间大部分粉丝的
[621.6s-622.6s] 选股能力差不多
[622.6s-623.6s] 你们不要跟我比
[623.6s-625.6s] 跟我比没什么太大的意义
[625.6s-626.6s] 能懂吗
[626.6s-627.6s] 我说的是直播间
[627.6s-629.6s] 直播间大部分粉丝
[629.6s-631.6s] 选股能力是差不了太多的
[631.6s-633.6s] 对于80%的粉丝来说
[633.6s-634.6s] 你不用去看
[634.6s-635.6s] 大家选的标定
[635.6s-636.6s] 一定谁比谁都好
[636.6s-638.6s] 你硬定要跟我比
[638.6s-639.6s] 那想想
[639.6s-641.6s] 总是比大家选股能力
[641.6s-642.6s] 要稍微高那么一丢丢
[642.6s-644.6s] 对不对
[644.6s-646.6s] 就这个肯定是有点区别的
[646.6s-648.6s] 但是我觉得择时选主线是核心
[648.6s-651.6s] 因为这个首先能保证大家
[652.6s-653.6s] 至少能够赚钱
[653.6s-656.6s] 比如说像买半导体ETF的人
[656.6s-659.6s] 你像今天检仓留一点点没关系的
[659.6s-661.6s] 今天也不是说是你完全倾倉的点
[661.6s-663.6s] 你检仓半导体ETF
[663.6s-664.6s] 我少说点
[664.6s-665.6s] 25个点有
[665.6s-667.6s] ETF你占25个点有
[667.6s-671.8s] 对不对
[671.8s-672.8s] 对不对
[672.8s-673.8s] 所以说
[673.8s-674.8s] 所以说理解
[674.8s-675.8s] 理解这些点就好了
[675.8s-677.8s] 你们的底层思维上面
[677.8s-679.8s] 不要有大的偏差就好
[679.8s-680.8s] 底层思维上面
[680.8s-682.8s] 不要有大的偏差
[682.8s-684.8s] 来
[684.8s-691.9s] 那么我们回归到盘面
[691.9s-694.9s] 我们回归到盘面
[694.9s-696.9s] 就很多人会问
[696.9s-698.9s] 这个是经验之谈
[698.9s-699.9s] 理论上面
[699.9s-701.9s] 得名利
[701.9s-703.9s] 接下来应该是要补贴的
[703.9s-705.9s] 理论上面
[705.9s-706.9s] 能懂吗
[706.9s-707.9s] 概率大概在80%
[707.9s-708.9s] 所以有部分人说
[708.9s-711.9s] 今天他不是上不上板的问题
[711.9s-712.9s] 上不上板
[712.9s-715.9s] 没有任何的意义
[715.9s-716.9s] 上不上板
[716.9s-717.9s] 没有任何的意义
[717.9s-720.9s] 意义在于今天
[720.9s-722.9s] 实际在大环境
[722.9s-723.9s] 则实这个上面
[723.9s-725.9s] 今天是一个检仓点
[725.9s-726.9s] 那么无论你手上
[726.9s-727.9s] 是什么标的
[727.9s-729.9s] 理论上面都要做这个动作
[729.9s-730.9s] 你防办的是
[730.9s-732.9s] 防止四阶段
[732.9s-733.9s] 指数调整力度
[733.9s-735.9s] 会比较大
[735.9s-736.9s] 你要先搞明白
[736.9s-737.9s] 是什么逻辑
[737.9s-738.9s] 而不是因为得名利
[738.9s-740.9s] 上不上板
[740.9s-741.9s] 那么在这样子的情况
[741.9s-743.9s] 下面大部分的标的
[743.9s-745.9s] 补跌的概率大
[745.9s-747.9s] 你要逆势再强势的
[747.9s-748.9s] 概率小
[748.9s-749.9s] 为什么呢
[749.9s-750.9s] 因为得名利也好
[750.9s-751.9s] 其他的一些容量
[751.9s-752.9s] 标的也好
[752.9s-754.9s] 毕竟像中国长城也好
[754.9s-755.9s] 其他标的也好
[755.9s-756.9s] 他们都属于什么
[756.9s-757.9s] 大容量有业绩
[757.9s-758.9s] 业绩比较好
[758.9s-759.9s] AI科技
[759.9s-761.9s] 他们属于同属性
[761.9s-762.9s] 你说有个别的个股
[762.9s-763.9s] 还能逆势涨
[763.9s-764.9s] 有没有可能
[764.9s-765.9s] 有可能
[765.9s-766.9s] 但是我们不能说
[766.9s-768.9s] 你这个姓陈者偏差
[768.9s-770.9s] 比如说都补跌了
[770.9s-771.9s] 明天补跌了
[771.9s-772.9s] 大部分标的都补跌了
[772.9s-773.9s] 100个核心标的
[773.9s-774.9s] 里面补跌了90个
[774.9s-776.9s] 90个标的是跌的
[776.9s-777.9s] 大概其中有百十的标的
[777.9s-778.9s] 可能还是逆势走的
[778.9s-779.9s] 然后你就说
[779.9s-781.9s] 其实不用检查
[781.9s-783.9s] 做交易不是这样子做的
[783.9s-784.9s] 对吧
[784.9s-785.9s] 我们在执行的
[785.9s-786.9s] 永远是大概率世界
[786.9s-787.9s] 所以我跟你们讲过
[787.9s-788.9s] 跟股票不存在
[788.9s-790.9s] 卖飞这个逻辑
[790.9s-793.9s] 哪来的卖飞这种说法
[793.9s-795.9s] 没有卖飞的说法
[795.9s-796.9s] 能懂吗
[796.9s-798.9s] 没有卖飞的说法
[798.9s-799.9s] 只要是你执行了
[799.9s-801.9s] 你交易内的计划卖点
[801.9s-803.9s] 你才是正确的
[803.9s-804.9s] 如果你没有执行
[804.9s-807.9s] 你交易计划内的卖点
[807.9s-809.9s] 我们的卖点不是在
[809.9s-810.9s] 昨天定下来的
[810.9s-812.9s] 不是在盘中定下来的
[812.9s-813.9s] 是在我们在
[813.9s-816.9s] N天前就一直在说
[816.9s-817.9s] 对吧
[817.9s-819.9s] 这样子你去执行的人
[819.9s-820.9s] 无论今天
[820.9s-822.9s] 哪怕今天指数V回去了
[822.9s-824.9s] 你也没有做错
[824.9s-825.9s] 这个道理你们先
[825.9s-827.9s] 这个交易的底层逻辑
[827.9s-828.9s] 你们先明白
[828.9s-830.9s] 我再重复一遍
[830.9s-832.9s] 哪怕今天指数V回去了
[832.9s-833.9s] 但是在早上那一刻
[833.9s-834.9s] 确实大部分的容量标记
[834.9s-836.9s] 全部都出现了大面
[836.9s-838.9s] 那么在这个时间节点
[838.9s-839.9s] 跟我们的交易计划里面
[839.9s-841.9s] 去检测的点相呼应了
[841.9s-843.9s] 无论今天指数V不V回去
[843.9s-845.9s] 都得去检测
[845.9s-846.9s] 为什么
[846.9s-847.9s] 因为到了你计划内
[847.9s-848.9s] 认知内的卖点
[848.9s-850.9s] 懂了吗
[850.9s-851.9s] 懂了吗
[851.9s-852.9s] 所以交易
[852.9s-854.9s] 交易我跟你们讲过
[854.9s-855.9s] 什么叫正确的对错关
[855.9s-856.9s] 在新法里面
[856.9s-857.9s] 是不是有
[857.9s-858.9s] 正确的对错关
[858.9s-859.9s] 还记得吗
[859.9s-861.9s] 执行自己模式内的交易
[861.9s-863.9s] 都是正确的
[863.9s-865.9s] 做自己模式外的交易
[865.9s-866.9s] 买卖
[866.9s-867.9s] 哪怕赚钱了
[867.9s-869.9s] 这也是一杯毒药
[869.9s-871.9s] 因为你会忘把运气
[871.9s-873.9s] 当做是你的能力
[873.9s-877.5s] 这是最可怕的
[877.5s-880.8s] 不是只要赚钱就是好的
[880.8s-882.8s] 这种就是屁话
[882.8s-883.8s] 你以为你是谁
[883.8s-885.8s] 你以为你就一定能赚钱
[885.8s-889.4s] 只要赚钱就是好的
[889.4s-891.4s] 那我刚才的话白讲了
[891.4s-894.4s] 只要你不执行自己的交易计划
[894.4s-895.4s] 哪怕你赚钱的
[895.4s-896.4s] 这是最大的毒药
[896.4s-897.4s] 人生中最大的
[897.4s-899.4s] 为什么有些人久久不能做到盈利
[899.4s-901.4s] 你们知道原因是什么吗
[901.4s-904.4s] 因为有些人总把一些运气
[904.4s-907.4s] 信存者编差当做是他的能力
[907.4s-909.4s] 而不坚定自己的模式
[909.4s-911.4s] 导致永远都没有一套
[911.4s-912.4s] 稳定的模式
[912.4s-913.4s] 永远在那边零盘交易
[913.4s-915.4s] 一辈子都赚不到钱
[915.4s-917.4s] 这就是原因
[917.4s-920.4s] 这叫数率正确的交易关
[920.4s-922.4s] 很多人为什么一辈子赚不到钱
[922.4s-923.4s] 你去想想看
[923.4s-924.4s] 身上这些列根信
[924.4s-926.4s] 还只要赚钱都是好事情
[926.4s-928.4s] 谁跟你说只要赚钱就是好事情
[928.4s-931.4s] 谁跟你说只要赚钱就是好事情
[931.4s-933.4s] 谁没赚过钱
[933.4s-934.4s] 那为什么你没有稳定盈利呢
[934.4s-942.0s] 有的时候赚钱是最大的毒药
[942.0s-948.1s] 我跟你们强调过了
[948.1s-950.1s] 所有优秀的交易员
[950.1s-952.1s] 一定是有他固定的交易模型的
[952.1s-954.1s] 他在交易模型里面
[954.1s-956.1s] 去赚到他自己认知能力
[956.1s-957.1s] 能力范围内的钱
[957.1s-958.1s] 胜负交给市场
[958.1s-960.1s] 长期能坚持的这样子的人
[960.1s-962.1s] 才能稳定盈利
[962.1s-964.9s] 能懂吗
[964.9s-965.9s] 只有一类人
[965.9s-967.9s] 我就跟你们说只有
[967.9s-968.9s] 不存在
[968.9s-970.9s] 只要经常在零盘起义
[970.9s-972.9s] 零盘改买卖点
[972.9s-975.9s] 以赢亏为对错
[975.9s-976.9s] 这些人
[976.9s-977.9s] 就不用去看了
[977.9s-979.9s] 他不可能稳定盈利
[979.9s-980.9s] 长周期你去看
[980.9s-982.9s] 他不会稳定盈利
[982.9s-983.9s] 因为底层逻辑都是错的
[983.9s-984.9s] 你方向都是错的
[984.9s-989.5s] 怎么可能稳定盈利呢
[989.5s-990.5s] 你们没发现
[990.5s-991.5s] 我们每一步都是在做
[991.5s-992.5s] 交易计划内的设
[992.5s-993.5s] 买入
[993.5s-994.5s] 买入的那一刻
[994.5s-995.5s] 你就一定能确保
[995.5s-996.5s] 你能赚钱吗
[996.5s-997.5s] 没有
[997.5s-998.5s] 只是我们的模式
[998.5s-999.5s] 数据统计出来
[999.5s-1001.5s] 百分之七八十能挣钱
[1001.5s-1003.5s] 那你上不上
[1003.5s-1004.5s] 就我以前跟你举过的
[1004.5s-1005.5s] 摇骰子的案例
[1005.5s-1006.5s] 你跟我摇骰子
[1006.5s-1008.5s] 你摇一到五都赢我
[1008.5s-1009.5s] 那你根本跟我摇
[1009.5s-1011.5s] 那你肯定跟我摇
[1011.5s-1012.5s] 但是你只摇一
[1012.5s-1013.5s] 才能赢过我
[1013.5s-1015.5s] 你会不会跟我摇
[1015.5s-1017.5s] 你肯定不会跟我摇
[1017.5s-1018.5s] 你又不是傻子
[1018.5s-1019.5s] 对不对
[1019.5s-1020.5s] 那市场也是这个道理
[1020.5s-1021.5s] 我们去
[1021.5s-1022.5s] 做
[1022.5s-1024.5s] 买股票的那一刻
[1024.5s-1025.5s] 一定是因为
[1025.5s-1026.5s] 基于我们的模式的
[1026.5s-1029.5s] 胜率是OK的
[1029.5s-1030.5s] 对吧
[1030.5s-1031.5s] 基于我们的模式的
[1031.5s-1032.5s] 胜率是OK的
[1032.5s-1033.5s] 所以你买了
[1033.5s-1034.5s] 百分之八十能
[1034.5s-1035.5s] 百分之七十左右
[1035.5s-1036.5s] 百分之七十以上能
[1036.5s-1037.5s] 赚钱
[1037.5s-1038.5s] 百分之三十亏钱
[1038.5s-1039.5s] 这是概率问题
[1039.5s-1040.5s] 然后买了以后
[1040.5s-1041.5s] 你发现
[1041.5s-1042.5s] 这个股票上涨了
[1042.5s-1044.5s] 像我们这一个波段
[1044.5s-1045.5s] 对吧
[1045.5s-1046.5s] 我们的股票
[1046.5s-1047.5s] 空空空上涨了
[1047.5s-1048.5s] 然后我们就制定
[1048.5s-1049.5s] 几种情况会卖
[1049.5s-1050.5s] 那在中间过程
[1050.5s-1051.5s] 没有出现卖点
[1051.5s-1052.5s] 那没办法
[1052.5s-1053.5s] 那它是涨的
[1053.5s-1055.5s] 那你就接受它的涨
[1055.5s-1056.5s] 如果它是调整的
[1056.5s-1057.5s] 比如这样三花
[1057.5s-1058.5s] 没有涨
[1058.5s-1059.5s] 那我们就接受它的调整
[1059.5s-1060.5s] 但是我们是有
[1060.5s-1061.5s] 明确的卖点的
[1061.5s-1062.5s] 对不对
[1062.5s-1063.5s] 我们不是那种
[1063.5s-1064.5s] 瞎嘰巴铃盘
[1064.5s-1065.5s] 起义乱交易的人
[1065.5s-1066.5s] 为什么会有
[1066.5s-1067.5s] 这套卖点
[1067.5s-1068.5s] 是因为我们
[1068.5s-1069.5s] 长期统计完以后
[1069.5s-1070.5s] 这样子的卖股
[1070.5s-1072.5s] 方式更划算
[1072.5s-1074.5s] 盈亏比更高
[1074.5s-1077.3s] 仔细去回顾
[1077.3s-1078.3s] 我刚才讲的这一段话
[1078.3s-1079.3s] 你会发现
[1079.3s-1082.3s] 每三句话不离开一个词
[1082.3s-1084.3s] 叫做盈亏比
[1084.3s-1085.3s] 盈亏比拆开来
[1085.3s-1086.3s] 就是两样东西
[1086.3s-1089.3s] 叫做胜率和赔率
[1089.3s-1090.3s] 做交易
[1090.3s-1091.3s] 我跟你们讲过
[1091.3s-1092.3s] 数学不好的人
[1092.3s-1094.3s] 是干不好交易的
[1094.3s-1095.3s] 数学不好的人
[1095.3s-1099.9s] 是干不好交易的
[1099.9s-1101.9s] 对不对
[1101.9s-1102.9s] 好
[1102.9s-1103.9s] 刚才我讲的
[1103.9s-1104.9s] 十分钟到十五分钟
[1104.9s-1105.9s] 时间
[1105.9s-1106.9s] 你们可以反复去听
[1106.9s-1107.9s] 这个概念
[1107.9s-1108.9s] 还没有的人
[1108.9s-1109.9s] 我就告诉你们
[1109.9s-1110.9s] 永远都不可能稳定盈利
[1110.9s-1112.9s] 一定要植入好这个概念
[1112.9s-1114.9s] 把自己正确的交易关
[1114.9s-1115.9s] 先树立起来
[1115.9s-1117.9s] 这是你稳定盈利的第一步
[1117.9s-1119.9s] 这是你稳定盈利的第一步
[1119.9s-1120.9s] 好
[1120.9s-1123.9s] 那么我们来讲到盘面
[1123.9s-1124.9s] 我跟你们讲过了
[1124.9s-1125.9s] 行情不好的时候
[1125.9s-1126.9s] 我就会给你们
[1126.9s-1128.9s] 讲一些内功的东西
[1128.9s-1129.9s] 内功
[1129.9s-1130.9s] 让你们能够交易
[1130.9s-1131.9s] 能够更扎实
[1131.9s-1133.9s] 外功
[1133.9s-1134.9s] 选股
[1134.9s-1135.9s] 这种只是外功
[1135.9s-1136.9s] 外功是什么
[1136.9s-1137.9s] 配合你的内功
[1137.9s-1139.9s] 你去看金庸老先生
[1139.9s-1142.9s] 所有的武林决顶高手
[1142.9s-1144.9s] 内力都是非常深厚的
[1144.9s-1145.9s] 哪怕你们能举出
[1145.9s-1147.9s] 比如说像令狐冲
[1147.9s-1149.9s] 令狐冲是不是独孤九剑
[1149.9s-1150.9s] 他原来是不怎么有内力的
[1150.9s-1151.9s] 但是你们有没有发现
[1151.9s-1152.9s] 后期
[1152.9s-1154.9s] 没有细心大法
[1154.9s-1155.9s] 他也就是
[1155.9s-1157.9s] 算不上顶尖高手
[1157.9s-1158.9s] 你们懂吗
[1158.9s-1159.9s] 为什么后面他还不
[1159.9s-1160.9s] 说是说是
[1160.9s-1161.9s] 他是一个健科
[1161.9s-1162.9s] 不需要内力
[1162.9s-1163.9s] 有用吗
[1163.9s-1164.9s] 你看他
[1164.9s-1165.9s] 并压压的时候
[1165.9s-1166.9s] 内力没有的时候
[1166.9s-1167.9s] 毛又没有
[1167.9s-1168.9s] 碰到真正的高手
[1168.9s-1169.9s] 就击飞了
[1170.9s-1171.9s] 对不对
