[6.6s-14.9s] 来晚上好
[432.9s-434.9s] 所以他总在做一个起点
[434.9s-435.9s] 远点的动作
[435.9s-437.9s] 在这里赚到钱
[437.9s-438.9s] 还没走到这
[438.9s-440.9s] 在这里可能已经把钱亏完了
[440.9s-442.9s] 然后这里开始亏本金
[442.9s-444.9s] 这种行情也是这样
[444.9s-446.9s] 在这里赚到的钱
[446.9s-447.9s] 在这里的正当行情
[447.9s-449.9s] 终于又把钱又亏回去了
[449.9s-450.9s] 州富实
[450.9s-452.9s] 然后现在又是老样子
[452.9s-453.9s] 对吧
[453.9s-454.9s] 现在又是老样子
[454.9s-461.6s] 在这里辛辛苦苦赚到钱
[461.6s-463.6s] 可能在这里摩摩摩很快
[463.6s-465.6s] 赚的钱又没钱
[465.6s-469.4s] 赚的钱又没了
[469.4s-471.4s] 基本上就是用一句话来概括
[471.4s-474.4s] 就是对自我能力没有认知的人
[474.4s-477.4s] 总是无比的傲慢吧
[479.4s-481.4s] 傲慢于偏见这本书看过吗
[482.4s-484.4s] 傲慢于偏见这本书看过吗
[484.4s-486.4s] 就是对自我认知比较模糊的人
[486.4s-489.4s] 总是会无形之中的傲慢吧
[489.4s-491.4s] 无形之中的傲慢
[492.9s-494.9s] 好那么这些东西反正
[495.9s-497.9s] 该讲的我已经讲了很多遍了
[497.9s-499.9s] 我还是那句话克服把这些录屏录下来
[499.9s-501.9s] 到时候谁找你BB来来
[501.9s-503.9s] 就把这个东西发给他
[503.9s-505.9s] 可能在两个礼拜以后
[505.9s-506.9s] 可能在三个礼拜以后
[506.9s-508.9s] 有些人终于辛辛苦苦
[508.9s-510.9s] 把前面的利润亏回去了
[510.9s-512.9s] 终于心满意足的
[512.9s-513.9s] 把前面的利润亏回去了
[513.9s-515.9s] 终于开开心心的
[515.9s-516.9s] 把前面的利润亏回去了
[516.9s-518.9s] 终于解了你手痒的问题了
[518.9s-520.9s] 就这么回事
[520.9s-522.9s] 就这么回事
[523.9s-525.9s] 到时候不要叫
[531.0s-534.0s] 那么回归到我们的指数节点
[534.0s-535.0s] 那么今天的盘面
[535.0s-537.0s] 其实是非常明显的
[537.0s-538.0s] 几句话来概括一下
[538.0s-540.0s] 我们现在的指数
[540.0s-542.0s] 指数这里我不去过多强调
[542.0s-544.0s] 这里是一个四阶段
[544.0s-547.0s] 而且这里的四阶段非常明显
[547.0s-549.0s] 今天你们没有发现一个现象吗
[549.0s-552.0s] 市场开始高速轮动了
[552.0s-556.3s] 市场开始高速轮动了
[556.3s-558.3s] 今天盘面其实
[558.3s-561.3s] 早上最强的是存储芯片
[561.3s-562.3s] 对吧
[562.3s-564.3s] 然后后面光谋快
[564.3s-565.3s] 这些也稍微发动了一下
[565.3s-566.3s] 到了下午以后
[566.3s-568.3s] 机器人板块又来了
[568.3s-569.3s] 商业航天又来了
[569.3s-571.3s] 其实现在已经有一点
[571.3s-573.3s] 高速轮动的这种味道了
[573.3s-574.3s] 接下来的这一个
[574.3s-575.3s] 四阶段的日子里面
[575.3s-577.3s] 可能我们经常会感受到
[577.3s-578.3s] 这种日内板块轮动
[578.3s-580.3s] 会非常的快速
[580.3s-582.3s] 日内板块轮动
[582.3s-583.3s] 会非常的快速
[583.3s-584.3s] 那么当然
[584.3s-586.3s] 这个四阶段比我们以前
[586.3s-587.3s] 那种
[587.3s-589.3s] 前面这种阶段会好一点
[589.3s-590.3s] 好一点的是什么呢
[590.3s-593.3s] 它至少不是所有的板块都轮
[593.3s-595.3s] 目前来说
[595.3s-596.3s] 从今天
[596.3s-598.3s] 昨天的观察来看
[598.3s-601.3s] 它的轮动还是具备一定的规律
[601.3s-603.3s] 它的轮动还是在
[603.3s-606.3s] AI
[606.3s-608.3s] 主要还是芯片
[608.3s-610.3s] 按导体
[610.3s-612.3s] 然后光谋快
[612.3s-613.3s] 然后机器人
[613.3s-615.3s] 主要还是在
[615.3s-617.3s] 这四个方也还有原材料
[617.3s-619.3s] 主要还是在这几个方向上面去轮动
[619.3s-621.3s] 不会像我们之前
[621.3s-622.3s] 那种特别差的行情
[622.3s-623.3s] 特别恶劣的行情里面
[623.3s-625.3s] 是它是什么板块都轮
[625.3s-626.3s] 什么化工
[626.3s-627.3s] 白酒
[627.3s-628.3s] 银行
[628.3s-629.3s] 什么都要来轮
[629.3s-631.3s] 这种行情是根本就没法做
[631.3s-633.3s] 现在我们可以把它定义为
[633.3s-634.3s] 叫做四阶段
[634.3s-636.3s] 四阶段是一个
[636.3s-638.3s] 非常明显的叫做什么
[638.3s-641.3s] 叫做结构性行情
[641.3s-642.3s] 大家也会发现
[642.3s-643.3s] 今天成交量
[643.3s-645.3s] 三万多亿说到了2.9万亿
[645.3s-647.3s] 很多的AI
[647.3s-648.3s] AI科技股
[648.3s-649.3s] 我跟你们讲过
[649.3s-651.3s] 它不会有
[651.3s-653.3s] 很有可能有一部分标记会A沙
[653.3s-655.3s] 确实现在有一部分标记是A沙的
[655.3s-657.3s] 那么结构性行情就非常明显了
[657.3s-659.3s] 有些质地比较好的市场
[659.3s-661.3s] 比较有辨识度的逻辑比较硬的
[661.3s-663.3s] 依旧会有资金去做
[663.3s-665.3s] 但是有一部分逻辑不是
[665.3s-666.3s] 特别硬的
[666.3s-667.3s] 逻辑不是特别硬的
[667.3s-670.3s] 那么它自然而然就会被淘汰
[670.3s-672.3s] 它自然而然就会被淘汰
[672.3s-673.3s] 所以你会发现有一些票
[673.3s-676.3s] 它是没有什么承接资金的
[676.3s-678.3s] 没有什么承接资金的
[678.3s-682.7s] 这个是我们要给整个盘面
[682.7s-683.7s] 做一个定性
[683.7s-684.7s] 做一个定性
[684.7s-687.7s] 我觉得定性是战略层面的事情
[687.7s-689.7s] 战略层面的事情烙明白了
[689.7s-690.7s] 你去烙后面的事情
[690.7s-691.7s] 你去会发现
[691.7s-694.7s] 答案都在战略层面
[694.7s-695.7s] 能懂吗
[695.7s-696.7s] 能懂吗
[696.7s-698.7s] 所以我们把指数这个节点
[698.7s-699.7s] 我跟你们讲过了
[699.7s-700.7s] 这里的多和转
[700.7s-701.7s] 没有任何意义
[701.7s-702.7s] 这里我们无非就去看
[702.7s-703.7s] 会不会出现空
[703.7s-705.7s] 不出现空
[705.7s-706.7s] 我昨天跟你们讲过
[706.7s-707.7s] 不出现空
[707.7s-709.7s] 并且我们的K线图形
[709.7s-712.7s] 能够在多空线之上
[712.7s-714.7s] 那么就意味着
[714.7s-719.7s] 80%的概率会开启什么5阶段
[719.7s-721.7s] 能理解这句话吗
[721.7s-722.7s] 来
[722.7s-724.7s] 如何去用好我们的AI择时系统
[724.7s-726.7s] 我给你们讲了这句话叫做
[726.7s-728.7s] 给你们讲了这句话叫做什么
[728.7s-729.7s] 叫做
[729.7s-732.7s] 如果K线图形能保持在
[733.7s-735.7s] 我们的多空线
[735.7s-736.7s] 附近不跌破
[736.7s-761.6s] 来
[761.6s-771.5s] 稍等
[786.8s-788.8s] 那么能保持在我们的多空线
[788.8s-789.8s] 不跌破
[789.8s-791.8s] 并且不出现空
[791.8s-792.8s] 那么这里就有G
[792.8s-794.8s] 有80%的概率起5阶段
[794.8s-796.8s] 但如果没有出现这个信号
[796.8s-798.8s] 这里很有可能做个小双头
[798.8s-801.8s] 就正式进入到落实阵道行情了
[801.8s-802.8s] 能理解吗
[802.8s-803.8s] 所以说
[803.8s-805.8s] 现在一直都是在4阶段
[805.8s-807.8s] 所以你不用有太多的想法
[808.8s-810.8s] 没有太大的必要
[811.8s-813.8s] 4阶段就是一个轮动的
[814.8s-815.8s] 格局
[816.8s-819.8s] 4阶段就是一个轮动的格局
[819.8s-820.8s] OK
[820.8s-822.8s] 什么时候这种轮动能结束
[822.8s-824.8s] 市场能有一个相对明显的方向
[824.8s-827.8s] 这才会是我们去考虑的点
[827.8s-829.8s] 所以我们对于整个指数
[829.8s-831.8s] 择时系统的一个定性
[831.8s-832.8s] 我们就定得非常简单
[832.8s-833.8s] 第一
[833.8s-835.8s] 现在一定是属于什么
[835.8s-836.8s] 防守阶段
[836.8s-838.8s] 所以理论上面
[838.8s-840.8s] 我们的核心目标是守住利润
[840.8s-842.8s] 尽可能少回测
[842.8s-845.8s] 这是我们的核心目标
[845.8s-847.8s] 这是我们的核心目标
[847.8s-848.8s] 好
[848.8s-854.2s] 核心目标有了以后
[854.2s-856.2s] 我们再去分析整个盘面
[856.2s-857.2s] 今天的盘面
[857.2s-858.2s] 我跟你们讲过了
[858.2s-859.2s] 就是一个高速轮动
[859.2s-860.2s] 目前来看
[860.2s-862.2s] 市场老的主线
[862.2s-863.2s] 也好
[863.2s-865.2s] 新出来的什么机器人也好
[865.2s-866.2s] 大家是互不相让
[866.2s-868.2s] 谁都不鸟谁
[868.2s-869.2s] 谁都不鸟谁
[869.2s-870.2s] 就是我跟你们说的
[870.2s-872.2s] 战国欺雄的状态
[872.2s-873.2s] 谁都不服谁
[873.2s-875.2s] 你也不一定比我牛逼
[875.2s-876.2s] CPO也来
[876.2s-878.2s] 成就芯片也来
[878.2s-880.2s] 半导体设备也来
[880.2s-882.2s] 然后机器人也来
[882.2s-883.2s] 对吧
[883.2s-884.2s] 机器人也来
[884.2s-886.2s] 所有的他都会来
[886.2s-888.2s] 所有的他都会来
[888.2s-890.2s] 所以轮动的行情
[890.2s-891.2s] 就是这样子的
[891.2s-892.2s] 会让大家比较难受
[892.2s-894.2s] 那么对于这一轮就是
[894.2s-895.2s] 结构性行情
[895.2s-897.2s] 有部分的一些
[897.2s-899.2s] 逻辑还算比较硬的
[899.2s-900.2s] 业绩支撑比较
[900.2s-902.2s] OK的标的
[902.2s-903.2s] 还能在
[903.2s-904.2s] 这一个四阶段
[904.2s-906.2s] 五阶弹中有走有走
[906.2s-907.2s] 有走有走
[907.2s-909.2s] 其他有一些淘汰掉的
[909.2s-910.2s] 亏钱效应
[910.2s-911.2s] 依旧会非常大
[911.2s-918.6s] 亏钱效应依旧会非常大
[918.6s-920.6s] 所以我们把大环境的
[920.6s-922.6s] 定性定好
[922.6s-923.6s] 就可以了
[923.6s-924.6s] OK
[924.6s-926.6s] 这个大家有概念了
[926.6s-928.6s] 这个大家有概念了
[928.6s-929.6s] 好
[930.6s-931.6s] 这是我们讲到的
[931.6s-932.6s] 关于指数则实系统
[932.6s-933.6s] 所以理论上面
[933.6s-935.6s] 现在指数则实系统
[935.6s-937.6s] 我们不是在去看多
[937.6s-939.6s] 也不是在去看转
[939.6s-940.6s] 指数则实系统上面
[940.6s-941.6s] 我们重点就看
[941.6s-942.6s] 两个信号
[942.6s-945.6s] 第一是否会低迫多空线
[945.6s-947.6s] 第二
[947.6s-949.6s] 第二是否会出现空
[949.6s-950.6s] 这两个信号不出现
[950.6s-952.6s] 那么这里的
[952.6s-955.2s] 四阶段
[955.2s-957.2s] 还是维持之前的叫做
[957.2s-959.2s] 正常调整
[959.2s-960.2s] 那么如果
[960.2s-962.2s] 两个信号同时出现了
[962.2s-964.2s] 那就要当心了
[964.2s-965.2s] 那就要当心了
[965.2s-966.2s] 基本上可以确认
[966.2s-969.2s] 最后这里就会做一个双头
[969.2s-970.2s] 能懂吗
[970.2s-971.2s] 如果多空线接破了
[971.2s-972.2s] 空也出现了
[972.2s-974.2s] 那么这里基本可以确认了
[974.2s-976.2s] 这里最后会做个双头
[976.2s-978.2s] 这一轮阶段结束
[978.2s-980.2s] 正式进入弱势真当
[980.2s-981.2s] 正式进入弱势
[981.2s-983.2s] 所以现在还在什么
[983.2s-985.2s] 盘面还在给我们决定性的一个信号
[985.2s-987.2s] 目前还看不到
[987.2s-988.2s] 所以这就是为什么
[988.2s-990.2s] 我们把空仓位压下来
[990.2s-991.2s] 环境不好的时候
[991.2s-992.2s] 仓位压下来
[992.2s-993.2s] 最大的好处是什么
[993.2s-994.2s] 你赚钱的时候
[994.2s-995.2s] 是中仓满仓
[995.2s-996.2s] 赚钱的
[996.2s-997.2s] 那你亏钱的时候
[997.2s-998.2s] 是两三层仓位
[998.2s-999.2s] 亏钱的
[999.2s-1000.2s] 你哪怕亏10个点
[1000.2s-1005.4s] 综合回测也就3个0
[1005.4s-1007.4s] 我们每到这个时刻
[1007.4s-1009.4s] 我跟江浙的一些邮子
[1009.4s-1010.4s] 我们每在这个时刻
[1010.4s-1011.4s] 讨论的只有一个话题
[1011.4s-1013.4s] 就是如何控制回测
[1013.4s-1014.4s] 我以前跟你们讲过
[1014.4s-1016.4s] 韭菜跟高手之间
[1016.4s-1019.4s] 最大的区别就是防守能力
[1019.4s-1021.4s] 能不能守住财富
[1021.4s-1022.4s] 才是你的核心
[1022.4s-1024.4s] 守财富的最核心的方法
[1024.4s-1026.4s] 就是控制仓位
[1026.4s-1028.4s] 其实守财富最核心的方法
[1028.4s-1029.4s] 就是控制仓位
[1029.4s-1030.4s] 仓位背后的本质
[1030.4s-1032.4s] 就是你对这波行情的理解
[1032.4s-1034.4s] 以及加上什么心态管理
[1034.4s-1036.4s] 能懂了吗
[1036.4s-1037.4s] 好 OK
[1037.4s-1038.4s] 那么第一件事情
[1038.4s-1041.5s] 给大家落明白的
[1041.5s-1043.5s] 就是我们当下指数
[1043.5s-1044.5s] 环境的节点
[1044.5s-1045.5s] 当下环境的仓位配置
[1045.5s-1046.5s] 当下整个市场的
[1046.5s-1048.5s] 一个负责者
[1048.5s-1049.5s] 就是我们的
[1049.5s-1051.5s] 配置当下整个市场的
[1051.5s-1053.5s] 一个风格偏好
[1053.5s-1054.5s] 好吧
[1054.5s-1055.5s] 好 OK
[1055.5s-1056.5s] 好
[1056.5s-1057.5s] 这是我们搞明白
[1057.5s-1058.5s] 第一件事情
[1058.5s-1060.5s] 那么我们大的战略格局上面
[1060.5s-1062.5s] 的定位是非常清晰的
[1062.5s-1063.5s] 我觉得现在为止
[1063.5s-1064.5s] 就是我们是比较从容的
[1064.5s-1066.5s] 我昨天给你们举例过
[1066.5s-1067.5s] 哇巴一下
[1067.5s-1068.5s] 前周四冲进去的
[1068.5s-1069.5s] 周五冲进去的人
[1069.5s-1070.5s] 难受死
[1070.5s-1071.5s] 科技股
[1071.5s-1073.5s] 一旦他票选的不好
[1073.5s-1074.5s] 就是背套十几个点
[1074.5s-1076.5s] 你说他这十几个点的那种票
[1076.5s-1077.5s] 什么时候才能解套
[1077.5s-1078.5s] 鬼知道
[1078.5s-1079.5s] 他就非常被动
[1079.5s-1080.5s] 然后等到
[1080.5s-1081.5s] 如果真的
[1081.5s-1082.5s] 后面有五阶段了
[1082.5s-1083.5s] 他又慌了
[1083.5s-1084.5s] 割掉了
[1084.5s-1086.5s] 割掉了以后五阶段就来了
[1086.5s-1088.5s] 现在这种行情
[1088.5s-1089.5s] 你一定要搞明白
[1089.5s-1091.5s] 持币大于持股
[1091.5s-1092.5s] 优于持股
[1092.5s-1093.5s] 能懂吗
[1093.5s-1095.5s] 现在这种阶段
[1095.5s-1098.5s] 一定是持币优于持股
[1098.5s-1101.5s] 所以我们要把这些思路弄清楚
[1101.5s-1102.5s] 当这些思路弄清楚
[1102.5s-1103.5s] 你们有没有发现
[1103.5s-1105.5s] 你们提问的
[1105.5s-1106.5s] 就是你们会产生
[1106.5s-1107.5s] 白天会产生
[1107.5s-1109.5s] 问题的地方也少了
[1109.5s-1111.5s] 因为很多的答案
[1111.5s-1112.5s] 不在个股里
[1112.5s-1114.5s] 很多的答案
[1114.5s-1116.5s] 在指数环境里
[1116.5s-1117.5s] 在板块里
[1117.5s-1118.5s] 如果每个答案
[1118.5s-1119.5s] 都在你自己的个股里
[1119.5s-1121.5s] 那你是否格决太小的
[1121.5s-1122.5s] 天天盯着自己的标地
[1122.5s-1123.5s] 看来看去有什么用
[1123.5s-1127.5s] 能解决什么问题吗
[1127.5s-1128.5s] 对不对
[1128.5s-1129.5s] 解决不了什么问题
[1129.5s-1130.5s] 这个阶段
[1130.5s-1131.5s] 就是要消化一批筹码
[1131.5s-1132.5s] 很正常
[1132.5s-1133.5s] 因为毕竟有这么大的一波
[1133.5s-1134.5s] 涨浮在了
[1134.5s-1137.5s] 清洗一下货利盘
[1137.5s-1138.5s] 是非常ok的
[1138.5s-1141.7s] 是非常ok的
[1141.7s-1142.7s] 好
[1142.7s-1144.7s] 那么指数这个层面
[1144.7s-1152.6s] 谢谢
[1152.6s-1153.6s] 好
[1153.6s-1154.6s] 那么指数这个层面
[1154.6s-1156.6s] 我们是讲得比较清楚了
[1156.6s-1157.6s] 指数这个层面
[1157.6s-1158.6s] 我们是讲得比较清楚了
[1158.6s-1159.6s] 来
[1159.6s-1160.6s] 接下来
[1160.6s-1161.6s] 我们来降一个维度
[1161.6s-1163.6s] 我们再来聊一下
[1163.6s-1165.6s] 市场风格的偏好
[1165.6s-1167.6s] 市场风格的偏好
[1167.6s-1168.6s] 昨天我给你们定义了
[1168.6s-1169.6s] 说市场风格
[1169.6s-1171.6s] 可能还是偏向于
[1171.6s-1174.6s] 偏向于去做低位的一些板块
[1174.6s-1175.6s] 以及高位一些
[1175.6s-1177.6s] 有一些标地会穿越过来
[1177.6s-1178.6s] 目前来说
[1178.6s-1179.6s] 穿越过来的方向
[1179.6s-1180.6s] 基本上还是定性了
[1180.6s-1183.6s] 还是以芯片半导体为主
[1183.6s-1185.6s] 当然芯片也包含纯属芯片
[1185.6s-1187.6s] 目前来说
[1187.6s-1189.6s] 就是结构性里面
[1189.6s-1190.6s] 能够扛的这波调整
[1190.6s-1192.6s] 还算是比较硬气的
[1192.6s-1194.6s] 还是这个方向
[1194.6s-1195.6s] 还是这个方向
[1195.6s-1197.6s] 会相对来说强悍一点
[1197.6s-1198.6s] 所以基本上
[1198.6s-1199.6s] 老的周期里面
[1199.6s-1202.6s] 还是芯片半导体
[1202.6s-1203.6s] 包含纯属芯片
[1203.6s-1206.6s] 这个方向硬一点
[1206.6s-1207.6s] 那么补涨方向
[1207.6s-1208.6s] 还是机器人
[1208.6s-1210.6s] 相对来说会稍微好一些
[1210.6s-1211.6s] 所以定调
[1211.6s-1212.6s] 就会定得更加清晰
[1212.6s-1213.6s] 你只能通过
[1213.6s-1215.6s] 一天一天的盘面
[1215.6s-1217.6s] 去筛选去精选
[1217.6s-1220.6s] 那临且去筛选去精选
[1220.6s-1221.6s] OK
[1221.6s-1223.6s] 那么半导体原材料
[1223.6s-1225.6s] 整体来说走的也还行
[1225.6s-1226.6s] 但是半导体原材料
[1226.6s-1228.6s] 就是你要去具体吸分一下
[1228.6s-1229.6s] 它没有具体的板块
[1229.6s-1230.6s] 你要去看一下
[1230.6s-1231.6s] 哪些原材料
[1231.6s-1232.6s] 是属于半导体
[1232.6s-1233.6s] 纯属芯片等等
[1233.6s-1235.6s] 包括CPU的一些原材料的
[1235.6s-1241.2s] 这个你要自己去看一下
[1241.2s-1242.2s] 好
[1242.2s-1244.2s] 那么这是对于板块的一个定性
[1244.2s-1246.2s] 我们脑海当中又有概念
[1246.2s-1248.2s] 哪怕我们去拿试拓仓
[1248.2s-1251.2s] 不能脱离这两个圈圈
[1251.2s-1254.8s] 能懂吗
[1254.8s-1255.8s] 哪怕我们去拿试拓仓
[1255.8s-1257.8s] 不能脱离这两个圈圈
[1257.8s-1258.8s] 昨天就跟你们讲过
[1258.8s-1260.8s] 不拿当然也可以
[1260.8s-1261.8s] 轰仓当然也可以
[1261.8s-1262.8s] 对不对
[1262.8s-1264.8s] 这也是一种手段
[1264.8s-1265.8s] 但是有些人憋不住的
[1265.8s-1266.8s] 就是要拿点试拓仓
[1266.8s-1267.8s] 因为现在的模型内
[1267.8s-1268.8s] 还没有出现空理论上面
[1268.8s-1269.8s] 四层仓位
[1269.8s-1270.8s] 以及四层仓位以内
[1270.8s-1272.8s] 是没有问题的
[1272.8s-1273.8s] 所以我们只能说
[1273.8s-1275.8s] 你就是想拿点试拓仓
[1275.8s-1276.8s] 试拓仓
[1276.8s-1278.8s] 我们就不要离开这两个框架
[1278.8s-1280.8s] 要么去做补掌机器人
[1280.8s-1281.8s] 对吧
[1281.8s-1282.8s] 要么你去做半导体
[1282.8s-1285.8s] 今天其实指数整体
[1285.8s-1286.8s] 是有调整的
[1286.8s-1287.8s] 但是两个方向
[1287.8s-1289.8s] 这两个方向还是相对来说
[1289.8s-1291.8s] 比较抗跌
[1291.8s-1294.8s] 两个方向还是比较抗跌
[1294.8s-1295.8s] 看平均股价就能看出来
[1295.8s-1297.8s] 平均股价整体还是
[1297.8s-1299.8s] 涨了一丢丢
[1299.8s-1301.8s] 0.35%
[1301.8s-1303.8s] 但是我们的指数整体是调整的
[1303.8s-1304.8s] 今天平均股价能涨是
[1304.8s-1306.8s] 因为颗霜板涨的比较多
[1306.8s-1309.8s] 颗霜板今天应该涨的有一点多吧
[1309.8s-1319.4s] 好 OK
[1319.4s-1320.4s] 好 OK
[1320.4s-1322.4s] 那么这使我们聊到的关于
[1322.4s-1325.4s] 我们对于指数环境的一个定性
[1325.4s-1327.4s] 对于板块的一个定性
[1327.4s-1329.4s] 好的方向的两件事情
[1329.4s-1330.4s] 搞明白了
[1330.4s-1334.4s] 那么我们看小方向市场的一些偏好
[1334.4s-1336.4s] 目前市场的偏好
[1336.4s-1338.4s] 还是没有太多的变化
[1338.4s-1341.4s] 尤其是到了这一轮
[1341.4s-1343.4s] 尤其是到了这一轮
[1343.4s-1344.4s] 你们会发现
[1344.4s-1347.4s] 就是这一轮行情到四阶段以后
[1347.4s-1349.4s] 市场依旧还是
[1349.4s-1351.4s] 审美还是在什么
[1351.4s-1354.4s] 业绩逻辑比较硬的地方
[1354.4s-1357.4s] 有些随着三阶段主声浪
[1357.4s-1359.4s] 上来逻辑并没有那么硬的标的
[1359.4s-1362.4s] 调整起来你们去看就是A沙
[1362.4s-1363.4s] 对吧
[1363.4s-1366.4s] 调整起来它就是A沙
[1366.4s-1369.9s] 但是呢
[1369.9s-1370.9s] 但是呢
[1370.9s-1371.9s] 你会发现一个现象
[1371.9s-1373.9s] 你会发现一个现象
[1373.9s-1375.9s] 业绩逻辑比较正的
[1375.9s-1377.9s] 相对来说持续性比较佳的
[1377.9s-1380.9s] 还是会受市场资金
[1380.9s-1382.9s] 市场资金
[1382.9s-1384.9s] 有成绩
[1384.9s-1386.9s] 这些方向还相对有成绩
[1386.9s-1387.9s] 所以主流审美
[1387.9s-1389.9s] 我们再做一个定性
[1389.9s-1391.9s] 没有变
[1391.9s-1392.9s] 也基本印证了
[1392.9s-1393.9s] 我跟你们讲过的
[1393.9s-1394.9s] 腰骨行情
[1394.9s-1397.9s] 我们还是要等六七月份
[1397.9s-1399.9s] 你们懂吗
[1399.9s-1401.9s] 腰骨行情
[1401.9s-1404.9s] 咱们还是要等六七月份
[1404.9s-1405.9s] 你们去看
[1405.9s-1407.9s] 连板高位其实都不行
[1407.9s-1408.9s] 成情绪流不行
[1408.9s-1409.9s] 有些人说
[1409.9s-1411.9s] 说那个大谱大谱
[1411.9s-1413.9s] 大谱其实它还是走趋势的走法
[1413.9s-1415.9s] 只不过是趋势里面走的
[1415.9s-1416.9s] 非常嚣张
[1416.9s-1417.9s] 非常夸张的一个板块
