[3.2s-6.8s] ok 那么今天晚上临时有事情啊
[6.8s-11.7s] 然后本来想给大家直播调到明天早上给你们播的
[241.3s-243.9s] 震荡行情的典型特色就是板块多轮动
[245.0s-245.9s] 板块多轮动
[246.6s-247.9s] 好走趋势的板块
[247.9s-249.1s] 他也会比较念念枪枪
[249.5s-251.5s] 就像现在的机器人一个道理
[251.9s-252.5s] ok
[252.6s-252.9s] 好
[252.9s-254.1s] 那么这第一个
[254.1s-256.5s] 第二个我们来讲一下的就是板块指数
[257.4s-258.9s] 板块指数这边
[259.1s-262.1s] 主线市场现在的核心跟你们讲过
[262.7s-263.8s] 跟你们讲过
[263.8s-266.7s] 那么这里有一个有变化的地方
[267.4s-269.1s] 有一个有变化的地方
[269.2s-271.4s] 我们的主线是那个存主芯片
[271.8s-272.8s] 存主芯片
[272.8s-275.0s] 然后补掌最强板块是那个机器人
[275.0s-276.7s] 现在有一个变化的地方
[276.7s-277.9s] 我要提一下
[278.5s-279.8s] 嗯pcb
[281.0s-283.2s] 其实核心应该叫印刷电路板
[284.3s-288.0s] 我觉得这个方向现在有点走成细分
[288.6s-290.7s] 细分结构的主线
[291.7s-293.1s] 细分结构的主线
[294.6s-296.2s] 所以在这一个阶段
[296.2s-298.8s] 我们可以把仓位放到四层仓位
[300.1s-302.7s] 我一定每次都会跟你们讲多少仓位
[302.7s-305.2s] 但是你们不听听不听这是你们的事情
[305.7s-306.9s] 我还是那句话
[307.4s-308.8s] 守在你们身上
[309.3s-311.2s] 最终的下单我控制不了你们
[311.2s-312.5s] 但是我不能不说
[314.0s-315.4s] 因为对于我们的仓位管理
[315.4s-317.2s] 我是有一个明确的规划的
[317.4s-318.7s] 就是我们是有一个明确的标准的
[318.7s-319.7s] 什么阶段多少仓位
[319.7s-320.5s] 什么阶段多少仓位
[320.5s-321.4s] 什么阶段多少仓位
[321.4s-322.5s] 但是你一定要去博弈
[322.5s-323.0s] 你要怎么样
[323.0s-324.2s] 你觉得你的能力可以
[324.4s-326.7s] 我不排除我们直播间有部分人
[326.7s-328.4s] 擅长做这种震荡行情
[328.5s-329.8s] 那你可以去放大仓位
[329.8s-331.0s] 那这是你的事情
[331.3s-331.8s] 好吗
[332.0s-333.2s] 所以我说还是要说
[333.2s-334.5s] 那么在这个阶段可以四层
[334.5s-335.7s] 是因为我觉得有主线
[335.7s-337.5s] 很多人说昨天不是说三层仓位
[337.5s-338.8s] 为什么现在可以放大一点
[339.3s-340.5s] 因为我觉得有主线
[340.6s-341.3s] 如果有主线
[341.3s-343.5s] 其实我们以前理论上说是可以到五层
[343.5s-344.0s] 对吧
[344.3s-345.2s] 五层半仓
[349.5s-350.7s] 好那么这里我来闹一下
[350.7s-352.3s] 首先第一个存主芯片这边
[352.3s-353.4s] 没有什么太大的问题
[353.4s-355.4s] 它现在是一个内部轮掌
[355.6s-357.5s] 所有穿越过来的板块里面
[357.5s-358.9s] 存主芯片就是最强的
[359.0s-359.8s] 所以这个板块
[359.8s-377.6s] 我们一直都会弹出去了
[378.6s-379.4s] 所以这个板块
[379.4s-380.7s] 我们一直都存主芯片
[380.7s-381.1s] 这个板块
[381.1s-382.7s] 我们一直都会去配置仓位
[383.0s-384.6s] 那么第二个的话就是
[385.3s-387.0s] 我说的印刷电路板
[387.0s-388.2s] PCB这一个方向
[388.2s-389.6s] 我们要稍微多关注一下了
[389.6s-391.9s] 这个方向现在走得非常的强悍
[393.1s-395.9s] 这个方向走的现在走的非常的强悍
[397.1s-400.8s] 有一种要继续开启主声浪的价实
[401.3s-403.6s] 所以我说的现在细分分支里面
[403.6s-404.7s] 可能是有主线
[404.8s-406.6s] 这就是为什么讲到
[406.6s-408.4s] 我们现在手上的几个标的
[408.9s-415.6s] 在周四的朋友圈
[415.6s-418.0s] 我分享的是京东方A
[418.6s-419.7s] 还有印象吧
[419.8s-421.4s] 虽然说当天如果你不去排队
[421.4s-422.6s] 京东方A买不到的
[422.6s-424.0s] 但是周五你随便买
[424.8s-425.7s] 尾盘涨停了
[427.0s-428.5s] 这是吵的是什么
[428.8s-429.8s] 跟你们讲过的
[430.3s-432.3s] 吵的是因为京东方A跟那个
[433.2s-434.2s] 那个叫做什么
[434.8s-436.1s] 美国那家公司叫
[437.7s-439.5s] 您自己一下子给我验一下手看看
[444.1s-444.7s] 稍等啊
[449.3s-450.3s] 康宁康宁
[451.2s-451.8s] 康宁
[452.3s-453.8s] 那么这里是偏短期
[453.8s-454.7s] 偏短线的
[454.7s-455.7s] 我跟你们讲过就是
[455.7s-457.4s] 这个方向是偏短期刺激的
[458.1s-459.1s] 不能把它拿做
[459.1s-460.5s] 当做趋势来去吵
[460.5s-461.8s] 还是有点不太一样的
[461.8s-463.1s] 京东方A那么京东方A
[463.1s-463.8s] 我就删掉了
[463.8s-465.8s] 不属于就是不说波段谷
[465.8s-466.4s] 我就删掉了
[466.4s-468.3s] 你们自行自己去处理吧
[468.3s-470.1s] 有些人想三日线走也行
[470.1s-471.4s] 30分钟不上水也行
[471.4s-472.4s] 这个你们自己去订
[472.4s-473.8s] 或者你有其他的卖股方法论
[474.8s-475.8s] 京东方A这个标题
[475.8s-476.8s] 我就不过都说了
[477.0s-478.1s] 那么在周五的时候
[478.1s-479.9s] 其实我给大家分享了一个标题
[482.6s-484.3s] 你们看了我朋友圈的应该知道
[484.8s-485.7s] 我分享完了
[485.7s-486.3s] 我分享的时候
[486.3s-487.7s] 他那个时刻涨停了
[487.7s-488.6s] 但是后面炸板了
[489.1s-490.1s] 叫做生意科技
[492.3s-494.0s] 这个标题是PCB的龙头
[496.0s-497.0s] PCB的龙头
[499.2s-500.5s] 所以现在我们的布局
[500.5s-502.8s] 赵毅这边反包了
[503.2s-504.6s] K线型他也非常好
[504.6s-505.7s] 有很多粉丝还在
[505.7s-506.8s] 那你就继续拿着
[506.8s-507.9s] 你继续按照五日线
[507.9s-509.1s] 不过走也行
[509.5s-511.3s] 或者四日不反包走也行
[511.3s-512.5s] 这个你自己去订
[512.7s-513.7s] 自己去订三花
[513.7s-515.0s] 三花反正我们没有动过
[515.0s-515.6s] 一直在
[515.7s-517.9s] 所以现在目前我们的配置是这样子
[518.3s-519.5s] 仓位上面我的建议就是
[519.5s-520.8s] 五层级五层仓位以内
[520.8s-522.3s] 因为现在我觉得是有主线
[523.1s-523.8s] 有主线了
[523.8s-524.9s] 那么生意科技这个
[524.9s-525.9s] 我跟你们讲一下
[526.1s-527.9s] 很多人说我朋友圈没看到
[527.9s-529.6s] 或者我没有老大的朋友圈
[529.6s-530.1s] 我怎么办
[530.1s-533.2s] 来各股模式里面我们看一下
[534.4s-535.8s] 软件就是这么掉
[536.7s-538.1s] 他也给你选了
[539.5s-540.7s] 他也给你选了
[542.1s-543.7s] 软件给我们选的元气键
[543.7s-545.0s] 一毫这也是PCB的
[545.4s-546.3s] 当年赚钱了
[546.9s-547.4s] 对吧
[547.7s-549.0s] 然后又给你选了互电
[549.0s-549.6s] 科强
[549.9s-551.2s] 所以很多人说我怎么办
[551.2s-551.8s] 我怎么办
[551.9s-553.1s] 我没有老大的朋友圈
[553.1s-553.5s] 没
[554.0s-554.6s] 没事
[555.9s-556.8s] B载子
[557.6s-558.3s] 互电
[558.7s-559.5s] 生意
[559.8s-560.8s] 还有一个标地
[561.9s-563.4s] 是一个日内最强的标地
[564.1s-565.0s] 叫做
[566.0s-567.0s] 呃
[568.2s-569.2s] 给你们搜一下啊
[570.0s-570.6s] 盆顶
[573.1s-576.2s] 盆顶啊6002938
[582.8s-584.9s] 这三个标地你就不要纠结了
[586.5s-587.7s] 现在我们叫做
[588.3s-589.7s] PCB三兄弟
[591.5s-592.7s] PCB三兄弟
[592.7s-594.2s] 所以你有沒有生意
[594.2s-595.4s] 或者你跟着软件买了
[595.4s-595.9s] 这个互电
[595.9s-596.7s] 道理都是一样的
[596.7s-597.9s] 我给你们先讲一下
[598.2s-599.7s] 这几个标地
[599.7s-602.9s] 都属于PCB行业的顶尖龙头
[603.9s-605.3s] 他们有各自的
[605.7s-607.5s] 各自的分工盆顶
[608.0s-609.0s] 你们自己去了解
[609.0s-610.8s] 我主要给你们讲互电跟生意
[610.8s-612.6s] 生意应该是上游
[613.2s-614.6s] 互电应该是中游
[614.9s-616.9s] 生意跟互电最大的区别是什么
[616.9s-618.4s] 从核心壁垒来说
[618.5s-620.9s] 生意科技的核心壁垒会更高一些
[622.4s-623.0s] 生意毕雷
[623.0s-625.7s] 生意生意科技的核心壁垒会更高一些
[625.8s-627.7s] 因为他在全球
[627.7s-629.0s] 在他自己的赛道里面
[629.0s-631.7s] 他应该是排名前三
[631.7s-632.7s] 全球前三
[632.7s-634.0s] 中国应该是第一
[635.0s-636.5s] 那具体核心壁垒是什么
[636.5s-638.6s] 这个功课我教给你们自己去做
[638.6s-639.7s] 你去问dipsec也好
[639.7s-640.6s] 你去问豆包也好
[640.6s-642.1s] 还是去问catgbt也好
[642.1s-643.2s] 希望大家培养
[643.2s-644.6s] 培养你们这些能力
[645.1s-645.4s] 好吧
[645.4s-647.2s] 我就不给你们去转述这些东西了
[647.2s-648.6s] 因为我也是从上面
[648.9s-651.5s] 前面几天就一直在观察这个产业
[651.7s-652.7s] 去查到的一些东西
[652.7s-653.7s] 然后分享给你们
[653.8s-655.1s] 那么互电属于中游产业
[655.1s-656.8s] 互电跟生意最大的区别是什么
[656.8s-658.5s] 核心壁垒没有生意强
[658.6s-660.5s] 但是互电的估值会更低一些
[661.5s-663.9s] 所以你说谁好谁差
[664.6s-665.6s] 没有这个说法
[666.1s-668.3s] 盆顶是属于什么的偏情绪股
[668.7s-669.8s] 他其实也是价值
[669.8s-671.7s] 但是他现在走的比较强悍
[672.0s-672.9s] 你会发现周五
[672.9s-674.2s] 其实他的带动力非常强
[674.2s-675.2s] 他是直接秒板
[675.4s-677.1s] 所以他情绪成分
[677.1s-679.3s] 由自参与的角度可能会更多一些
[680.7s-682.3s] 所以这三兄弟无论你是哪个
[682.3s-683.1s] 你不要问我说
[683.1s-684.0s] 我是盆顶怎么办
[684.0s-685.1s] 我是互电怎么办
[685.2s-687.8s] 好像可能处理方式大家都是一样的
[688.1s-689.5s] 那对于这种标定的处理方式
[689.5s-690.8s] 其实我们比较简单
[691.4s-692.4s] 基本上就是
[692.7s-693.9s] 五日线破维在走
[696.1s-697.9s] 基本上就是五日线破维在走
[699.3s-702.0s] 或者说这条主线开始出现大面积的亏前效应了
[702.0s-702.7s] 我们在走
[704.0s-706.1s] 还有一个就是爆亮阴线在走
[707.1s-708.9s] 你说这三个标定会有什么区别吗
[708.9s-709.7s] 没有什么区别
[711.3s-711.6s] 对不对
[711.6s-713.2s] 所以你不要再来问我说
[713.2s-714.1s] 我手上是盆顶
[714.1s-714.9s] 我手上是互电
[715.5s-717.9s] 所以这一次应该没有人会踏空
[718.2s-719.5s] PCB为什么
[720.1s-721.5s] 第一我朋友全分享了
[722.0s-722.9s] 软件也给你推了
[724.1s-725.1s] 软件也给你推了
[726.6s-727.1s] OK
[728.0s-730.7s] 所以这是第3件事情关于个股层面的
[730.9s-732.7s] 我也跟大家讲一下
[733.0s-734.0s] 那么自上而下
[734.0s-736.0s] 给另外终上再做一个最后的组
[736.0s-737.0s] 超断没有行情
[737.0s-737.8s] 超断这边我参加
[737.8s-739.1s] 也超断你们也看到
[739.4s-741.1s] 高标直接停一字停了
[741.8s-743.1s] 没有任何的价值
[743.1s-744.5s] 所以我说过超断可能
[745.1s-746.3s] 超断想要有行情
[746.3s-748.3s] 波断行情必须得先死
[748.3s-750.1s] 波断不死超断不起
[751.6s-752.1s] 能懂吗
[752.1s-753.5s] 波断不死超断不起
[753.5s-754.5s] 超断在什么时候来
[754.5s-757.0s] 在波断已经快要显
[757.5s-758.5s] 状态的时候
[758.5s-759.9s] 超断应该会提前爆发
[762.2s-762.7s] 机会来了
[762.7s-764.4s] 我会跟你们说机会没有
[764.4s-766.5s] 所以我现在很少给你们提创的
[766.5s-767.8s] 就是因为这个原因
[768.5s-769.0s] OK
[769.4s-770.6s] 这个注意一下就可以了
[770.6s-771.0s] 好吧
[771.9s-772.4s] 好OK
[772.4s-773.5s] 最后给你们做一个总结
[773.5s-775.2s] 首先指数择时系统这边
[775.2s-775.8s] 非常明确
[775.8s-777.4s] 就是一个就是一个
[777.7s-779.5s] 震荡弱势的行情
[780.4s-781.4s] 落实震荡弱势
[781.4s-783.9s] 那么现在其实还在处于四阶段
[785.0s-787.0s] 现在其实还在处于四阶段
[789.6s-789.9s] OK
[789.9s-791.4s] 双头其实已经做出来了
[791.9s-793.1s] 双头已经做出来了
[794.4s-794.9s] 好吧
[794.9s-797.3s] 那么这里其实可以从全新一个角度去看
[797.3s-798.4s] 不用去看前面了
[798.4s-800.7s] 就你把它当作是一个新的一个起点
[800.7s-802.2s] 等到它出现空的时候
[802.3s-803.3s] 就是一个新的起点
[803.3s-804.3s] 没有出现空的时候
[804.3s-805.7s] 我们就当四阶段继续看
[806.4s-806.9s] 好吧
[807.2s-808.7s] 继续看四阶段继续看
[808.9s-809.2s] 好
[811.8s-813.9s] 你自己对你自己能力的一个评估
[814.5s-814.9s] OK
[814.9s-815.9s] 我就不多说话
[816.1s-816.7s] 我就不多说
[816.7s-817.9s] 因为每个人
[819.1s-820.3s] 你们自身的
[820.9s-822.4s] 就是自治力交易能力
[822.4s-823.4s] 各方面都不一样
[823.5s-825.0s] 我就不去给你们做
[825.0s-825.7s] 滑多的标准
[825.7s-827.1s] 我的标准早就给到过了
[827.5s-829.3s] 因为现在我觉得是有主线的
[829.3s-831.3s] 所以可以在五层级五层上面一位
[831.3s-833.0s] 以内配置我们也非常简单
[833.0s-834.2s] 如果有一些人
[834.6s-837.1s] 有一些人造业没走的
[837.3s-838.9s] 那你就继续按按
[838.9s-840.6s] 你的逻辑去卖就行了
[840.9s-841.7s] 有些人没走的
[841.7s-843.3s] 肯定是根据五日线接破来卖的
[843.3s-844.5s] 那你基本上就还没有变
[844.5s-845.7s] 三花肯定大家都有
[845.9s-847.8s] 生意看了我朋友前的肯定也都有
[848.2s-848.6s] 对吧
[848.6s-849.4s] 那还有一个互电
[849.4s-850.8s] 可能你跟着软件买的也都有
[850.8s-851.6s] 那就OK了
[851.9s-852.3s] OK了
[852.3s-853.6s] 所以现在我们把
[853.8s-855.9s] 仓位尽可能多聚焦到
[856.4s-856.9s] 哪里
[857.9s-859.2s] 印刷电路板pcv
[860.0s-860.5s] 好吧
[860.7s-862.9s] 多聚焦到这里的权重会更高一些
[862.9s-864.1s] 至少要占70%
[864.7s-865.2s] 我觉得
[865.8s-867.0s] 至少占70%
[867.7s-869.1s] 其余占30%或者
[869.2s-870.8s] 4比6这里占60%
[870.8s-872.5s] 我说的是你下的这个仓位
[872.5s-873.4s] 不是你的总仓位
[873.5s-874.4s] 别听插了
[875.2s-876.4s] 老大要满仓了吗
[877.5s-878.3s] 给你一个白眼
[878.7s-879.3s] 不是满仓
[880.1s-881.0s] OK听明白了
[881.0s-882.5s] 是你出手五成仓位里面的
[882.5s-883.4s] 百分之多少
[883.5s-885.4s] 或者出成四成仓位的百分之多少
[885.8s-886.4s] 一点吧
[886.8s-887.5s] 好OK
[887.7s-889.3s] 那么这是我们的
[890.2s-891.5s] 板块层面以及个股层面
[891.5s-892.5s] 个股层面我跟你们说过了
[892.5s-893.5s] 那标准就定好了
[893.5s-895.2s] 什么时候卖爆料音线再走
[895.5s-896.4s] 第破五日线再走
[896.4s-897.2s] 第破三日线再走
[897.2s-898.2s] 你自己去随便你
[898.4s-899.6s] 你喜欢哪一种东西
[899.6s-900.6s] 每个人都不一样
[900.7s-901.6s] 最后谁占的多
[901.6s-902.0s] 谁占的少
[902.0s-902.5s] 鬼知道
[903.1s-904.5s] OK那么软件
[904.6s-906.2s] 给我们周五选出来的标地
[906.2s-907.1s] 肯定又是大肉
[907.7s-908.4s] 肯定又是大肉
[908.4s-910.2s] 所以我说你们做不过软件的
[911.3s-912.1s] 做不过软件
[912.5s-912.8s] 好吧
[912.8s-914.6s] 来我们来看一下招商
[917.0s-917.5s] 招商
[917.9s-919.5s] 那前一天周四的亏四个点
[919.5s-920.5s] 你看随便卖
[920.6s-921.5s] 正常红牌卖
[921.5s-923.4s] 那你这个标的就当亏三个点好了
[924.1s-924.8s] 对不对
[925.6s-926.6s] 再来看赛雷斯
[927.4s-929.0s] 赛雷斯这个标的要亏点钱
[929.2s-930.1s] 亏三个多点
[930.8s-932.4s] 好百合股份直接反包了
[933.5s-934.0s] 对吧
[934.1s-935.1s] 百合直接反包了
[936.8s-937.6s] 所以没亏多少钱
[937.6s-939.4s] 但是赚钱的时候就很赚
[940.0s-941.5s] 这几个标的明天肯定高一家
[943.4s-943.9s] OK
[944.5s-945.0s] 好
[945.2s-947.4s] 其他我就不过多说了
[947.4s-949.0s] 我们明天晚上见吧
[949.0s-949.8s] 不见不散
