[0.2s-134.0s] 不必许多过 请你许多 同时不自责
[134.0s-136.6s] 比别的不要强一点点
[407.0s-410.5s] 瞬间就让他知道了什么叫心意概念股
[412.1s-414.5s] 中午下午开盘以后是直线拉伸
[417.5s-418.8s] 把整个指数都带起来了
[420.0s-421.5s] 上午确实是比较被动的
[421.5s-423.8s] 被护垫给带的看上去
[424.5s-427.1s] 下午就直接龙头地位进出
[429.1s-431.1s] 在万千少女当中
[431.1s-432.1s] 我们又选中了
[434.4s-435.2s] 刘亿飞
[436.3s-437.6s] 又选中了刘亿飞
[440.5s-440.7s] 好了
[440.7s-442.2s] OK那么
[443.8s-445.0s] 这是心意概念股
[445.0s-447.1s] 和软件概念股的PK可以
[447.4s-449.3s] 外面的都不配跟我们PK
[449.8s-451.9s] 不配加入到我们的PK行业
[452.9s-453.8s] 好
[454.0s-456.8s] 那么喜悦归喜悦
[456.8s-458.4s] 我们也不能忽略掉
[458.4s-461.3s] 盘面的一些真实情况
[462.9s-464.0s] 我们
[465.6s-466.8s] 就是不能
[467.1s-468.4s] 不能忽略了
[468.4s-470.4s] 盘面的一些真实情况
[470.6s-471.1s] 好吧
[472.4s-472.9s] 来
[474.1s-474.5s] 来
[474.5s-475.8s] 我们先来看一下
[475.8s-476.8s] 还是老规矩
[476.8s-478.6s] 我们先站在山顶之上
[478.6s-480.6s] 我们先把核心的
[481.0s-482.7s] 市场的指数环境
[482.7s-484.0s] 市场的主线阶段
[484.0s-485.7s] 以及目前来说
[485.7s-487.8s] 整个市场的审美偏好
[487.8s-488.9s] 我们再来
[490.9s-492.7s] 看了嫂子的照片
[492.7s-493.6s] 对老大的审美
[493.6s-494.6s] 我们是放心的
[495.8s-498.0s] 我的审美还需要你质疑
[499.4s-501.1s] 我的审美还需要你质疑
[505.3s-505.9s] 来
[505.9s-506.6s] OK
[508.5s-509.4s] 稍等啊
[514.4s-515.7s] 没我的茶杯
[516.5s-524.7s] 既然我的审美还需要质疑
[527.2s-528.1s] 不是顶美
[528.1s-529.5s] 怎么能入我的发言
[542.4s-542.9s] OK
[542.9s-543.4s] 来
[543.5s-546.4s] 那么我们回到盘面
[546.4s-548.0s] 就是盘面当中
[548.0s-549.0s] 还是有很多东西
[549.0s-550.7s] 不容我们去忽视的
[550.7s-551.7s] 也印证了
[552.5s-553.9s] 也印证了
[554.5s-555.7s] 我前面给你们分享
[555.7s-557.3s] 你们连起来看
[557.5s-559.2s] 你们就会发现
[560.0s-561.9s] 什么叫做真正的强大
[562.1s-563.9s] 你们不要瞒眼中
[564.2s-565.6s] 你们不要瞒眼中
[565.6s-566.3s] 只看到了
[566.5s-567.7s] 个股涨了就牛逼
[567.7s-568.9s] 个股跌了就不行
[568.9s-570.1s] 个股涨了就牛逼
[570.8s-573.2s] 这个也是非常低维度的一件事情
[573.9s-576.9s] 你们要去回忆每一场直播
[577.7s-579.4s] 真正的韩金量
[581.0s-582.1s] 真正的韩金量
[582.1s-583.2s] 今天有一个
[583.7s-585.2s] 今天有一个粉丝
[586.4s-588.0s] 我特别把它标记了
[588.6s-589.9s] 他说了一个点
[589.9s-591.9s] 我觉得有点东西
[592.3s-593.1s] 有点东西
[594.7s-596.5s] 看一下是哪一个
[599.6s-602.5s] 名字叫做云烟成语
[602.5s-604.5s] 我觉得他是真的学到点东西了
[605.3s-606.1s] 为什么这么说
[606.3s-607.3s] 他今天给我发的是
[607.3s-608.7s] 老大你真是天才
[608.9s-612.3s] 一整轮从市场上来看
[612.3s-613.7s] 阶段全部采准了
[613.7s-614.6s] 感悟好多
[614.6s-616.5s] 每次市场拐点的时候
[616.5s-617.5s] 就控制倉位
[617.5s-619.1s] 再找长跌方向
[619.1s-621.5s] 主动加主动的倉
[621.5s-623.1s] 再找强跌加主动的方向
[623.1s-623.9s] 合力方向
[624.6s-625.7s] 再次进攻
[626.2s-627.7s] 他短短的几句话
[627.7s-630.0s] 至少我能从他这么几句话当中
[630.2s-632.0s] 他是真正学到点东西了
[632.2s-633.9s] 这个学到点东西是我的逻辑
[633.9s-636.4s] 是他已经再往
[637.3s-639.6s] 天公最高的地方再看了
[641.1s-642.6s] 真正理解到
[643.1s-645.5s] 真正有一点点理解到了
[647.0s-648.6s] 我的整个打法
[650.1s-651.6s] 所以我把这段话
[651.8s-653.0s] 分享给你们
[653.3s-654.1s] 分享给你们
[654.1s-655.6s] 那么当然今天会给大家
[655.7s-656.9s] 做一个副盘
[656.9s-659.0s] 到底我们整轮过程是怎么打过来的
[659.0s-661.1s] 你们没有什么太大的概念
[661.3s-663.9s] 每一次都是要等到后面
[663.9s-665.0s] 才会有概念
[665.8s-667.5s] 要等到后面才后之后
[667.5s-668.9s] 就可能稍微有点概念
[671.1s-671.8s] 好吧
[676.0s-677.4s] 直播间也是这个名字
[677.4s-678.9s] 云烟成语
[680.5s-681.1s] 来
[681.3s-682.9s] 那么首先我们来看今天盘面
[682.9s-684.3s] 那么还是
[684.7s-686.8s] 点开我们软件的首页
[687.1s-689.9s] 在首页当中再一次印证了
[690.3s-692.2s] 再一次印证了牛逼的地方
[692.2s-694.1s] 不是让你们看新衣概念国
[694.3s-696.3s] 今天全红暴涨转番
[696.5s-697.9s] 不是让你们看肉眼
[697.9s-698.9s] 大家都能看出来
[700.0s-702.0s] 要你们看的是你们去看
[702.4s-703.2s] 从
[703.7s-705.2s] 从那个阴线以后
[705.2s-706.6s] 我就告诉过大家
[706.6s-708.2s] 其实是从五阶段的时候
[708.2s-709.7s] 不是阴线从五阶段的时候
[710.0s-711.6s] 那时候以为那边要起五阶段
[711.6s-712.3s] 还记得吗
[712.8s-714.5s] 就告诉过大家四阶段
[714.7s-716.5s] 一结束就告诉过大家调整
[717.7s-718.1s] 对吧
[718.1s-719.1s] 四阶段在调整的时候
[719.1s-720.0s] 就告诉过大家
[720.5s-722.4s] 这个阶段是叫做结构性
[722.4s-724.3s] 行情里面的结构性行情
[724.7s-727.2s] 这句话的含金量有多高
[729.5s-731.9s] 现在你们只有在当下这个阶段
[731.9s-733.6s] 有部分人才能领悦到
[733.8s-734.9s] 在五天前
[734.9s-736.2s] 在七天前
[736.2s-738.1s] 在这个阶段都猜
[738.1s-740.7s] 在三阶段才刚开始走完的时候
[740.9s-743.4s] 我已经提前一个礼拜
[743.4s-744.7s] 在一直的在拼命的
[744.7s-746.1s] 在告诉所有人
[746.7s-748.9s] 接下来的行情会非常的难
[749.1s-752.1s] 难的原因在于结构性行情里面的
[752.1s-753.6s] 结构性行情
[753.8s-755.4s] 叫做主声浪阶段
[755.4s-756.5s] 我们炒结构性行情
[756.5s-757.9s] 炒什么炒AI科技
[757.9s-759.0s] 而这一轮行情
[759.0s-761.9s] 我们炒什么炒AI科技里面的
[761.9s-762.9s] 结构性抱团
[767.2s-769.0s] 所以你们去想想看
[769.8s-771.9s] 在一件事情没有发生的时候
[771.9s-773.0s] 已经提前一个礼拜
[773.0s-774.8s] 先给你们打预防针告诉你们
[776.4s-777.5s] 这是第一个
[778.6s-779.5s] 第二个
[780.0s-781.9s] 第二个你们再去思考一下
[781.9s-784.2s] 在三阶段走完的那个时候
[784.2s-785.1s] 又给你们讲了
[785.1s-786.9s] 一个巨大含金量的地方
[786.9s-789.6s] 我们尽可能去规避
[790.2s-793.4s] 原来AI科技里面长的好的标地
[795.7s-797.3s] 市场是喜新厌旧的
[797.3s-800.1s] 这个阶段要开始喜新厌旧了
[801.5s-804.9s] 这局量化的含金量又在上升
[806.1s-808.4s] 除了个别个股能够穿越过来
[808.4s-809.7s] 原来长得非常好的高标
[809.7s-810.8s] 而且个别有穿越过来
[810.8s-811.9s] 还在破新高一半
[811.9s-815.3s] 大部分的个股都在调整的
[815.3s-816.6s] YATA补途
[820.0s-821.6s] 仔细去回忆
[822.4s-825.6s] 你们很多时候以为把我的话当耳边风
[827.5s-829.1s] 真正去领会到
[829.1s-831.7s] 不要只看到新一旋的标地好牛
[831.7s-832.5s] 为什么
[833.2s-834.7s] 是因为悬谷能力强吗
[834.7s-836.5s] 真的只是因为悬谷能力强吗
[837.1s-838.4s] 真正的含金量
[838.4s-839.8s] 很多的高质量
[840.8s-842.0s] 进阶
[842.7s-845.1s] 真正能让你对市场有理解力的
[845.1s-846.8s] 很多内容都在直播街
[847.8s-848.8s] 这是第二个
[848.8s-849.8s] 第三个
[850.0s-852.4s] 是昨天直播被我劈头盖脸
[852.4s-853.8s] 一顿骂的还记得吗
[853.8s-856.3s] 看到一根阳线就是航情来了
[856.3s-858.5s] 看到一根阴线就是航情没了
[858.5s-860.8s] 跟你们讲过这个阶段是什么
[860.8s-864.2s] 叫做正若是正当期
[867.4s-869.3s] 现在能懂我一直跟你们说过
[869.3s-870.9s] 现在这个阶段
[871.3s-873.9s] 这整一轮主声浪已经走完了
[874.2s-876.9s] 这一个阶段你可以重新归零划分了
[877.1s-879.0s] 现在是属于什么若是正当阶段
[879.3s-880.6s] 要么走成这样
[880.9s-881.9s] 要么走成这样
[881.9s-883.7s] 个人更倾向于走成这样
[884.0s-885.9s] 所以长到上上上到上香了
[885.9s-886.9s] 他就会往下跌
[886.9s-888.3s] 你看今天不就往下跌了吗
[893.0s-894.8s] 今天不就往下跌了吗
[899.3s-902.4s] 想想看这三大点
[902.4s-905.2s] 其中两大点是在一个礼拜前
[906.0s-906.6s] 就告诉你们
[906.6s-908.6s] 这根阴线以后就告诉你们
[909.4s-911.9s] 第一二个观点是在这根阴线以后的
[912.0s-913.9s] 这里开始我就开始跟你们说了
[914.6s-915.2s] 对吧
[915.2s-917.4s] 然后市场进入到正当时
[917.4s-918.3s] 这根阴线的时候
[918.3s-919.0s] 我就告诉你们了
[919.0s-920.3s] 市场进入到若是正当
[924.4s-927.0s] 回过头来看真正牛逼的地方是什么
[927.0s-928.0s] 这个叫做什么
[928.2s-931.7s] 对于市场的绝对理解和对于节奏的把握
[937.5s-939.3s] 正当航情就是这样子的
[939.3s-941.5s] 专门杀什么专门杀最高的人
[943.9s-946.8s] 现在的正当航情是量化收割机
[947.4s-950.2s] 有多少人辛辛苦苦组绅浪账的钱
[951.8s-954.0s] 在正当航情里面全滩滩还回去了
[956.6s-959.0s] 在你们所有人都要开始很飘的时候
[959.0s-960.7s] 我还是要给你们见见温
[963.4s-965.2s] 你们有没有去思考过一个问题
[965.2s-966.9s] 如果我停播两个月
[968.8s-970.9s] 你们觉得还能守得住财富吗
[972.2s-973.5s] 有多少人能守得住财富
[973.5s-974.6s] 公平上面扣个八
[975.2s-975.8s] 我看一下
[980.9s-982.3s] 假设我停播两个月
[982.3s-983.7s] 有多少人能守得住财富
[983.7s-984.6s] 公平上面扣个八
[984.6s-985.6s] 你觉得你是可以的
[986.4s-987.1s] 我看一下
[988.3s-989.3s] 占比有多少
[995.2s-996.4s] 来大胆扣
[1000.5s-1002.5s] 在普天同庆的日子里面
[1002.5s-1003.6s] 就要给你们讲点干货
[1003.6s-1004.8s] 我以前跟你们说过
[1005.1s-1007.7s] 在你们很开心很激动的时候
[1008.1s-1010.8s] 我就会给你们反方向去泼点冷水
[1010.8s-1013.9s] 并且给你们上干货
[1013.9s-1016.2s] 因为你们只有在这个时候才能听进去
[1017.0s-1018.0s] 一点点亏钱的时候
[1018.0s-1019.2s] 心态就极度炸裂
[1022.7s-1025.1s] 那就只能两个月不买票了
[1027.2s-1028.1s] 借你们的鬼
[1028.1s-1029.6s] 吹牛逼逼谁吹得多大
[1029.9s-1031.1s] 我空舱就行了
[1035.9s-1037.3s] 还是你们会说话了
[1038.6s-1041.3s] 停播两个月按照我的水平直接覆灭了
[1043.0s-1043.4s] OK
[1043.8s-1048.0s] 所以在现在
[1048.0s-1050.9s] 就是因为大家心情好
[1050.9s-1052.4s] 尤其是看到外面暴跌
[1052.4s-1054.2s] 我估计你们心情是好上加好
[1054.5s-1055.8s] 心情是好上加好
[1055.8s-1058.4s] 所以说今天就给你们多讲一些干货内容
[1058.4s-1059.5s] 让你们有意识
[1060.5s-1061.7s] 让你们有意识
[1063.6s-1066.4s] 我拿最近这几天的真实
[1066.7s-1068.9s] 发生在我们身上的所有的马田报
[1068.9s-1069.9s] 给你们点醒
[1070.5s-1072.4s] 就要做真正让你们理解到
[1072.9s-1075.6s] 为什么悬谷能悬好
[1076.7s-1078.2s] 因为对于每一个阶段
[1078.2s-1080.3s] 我的思路是非常清晰的
[1081.1s-1082.8s] 然后从这个阶段开始
[1082.8s-1083.4s] 有没有发现
[1083.4s-1085.4s] 我就跟你们说过仓位就要降
[1087.0s-1088.6s] 这个阶段就是很难做的
[1088.6s-1090.3s] 为什么要保持六层仓位
[1090.3s-1091.8s] 以内五层仓位以内
[1092.1s-1094.7s] 就是因为这里稍个一个不小心
[1094.9s-1097.2s] 我们现在是悬谷选的牛逼
[1097.3s-1099.2s] 你看到了早知道满舱了
[1099.2s-1100.1s] 早知道满舱
[1100.8s-1103.0s] 你如果这样子想就好比什么
[1103.0s-1104.1s] 你跟我摇骰子
[1104.4s-1105.7s] 摇一和二你赢
[1105.7s-1107.7s] 摇三四五六我赢
[1107.9s-1109.6s] 但是你胎压前三把运气
[1110.5s-1111.9s] 摇的全是一盒
[1111.9s-1113.0s] 有没有可能
[1113.0s-1113.9s] 当然有可能
[1113.9s-1115.8s] 但这是不是小概率世界
[1116.1s-1116.8s] 是的
[1116.8s-1118.9s] 如果你把周期拉长
[1119.1s-1120.2s] 概率论都学过
[1120.2s-1122.0s] 如果你把周期拉长
[1122.0s-1123.2s] 把样本容量
[1123.5s-1124.2s] 扩大
[1124.4s-1125.7s] 到500次1000次
[1126.1s-1128.7s] 最后你一定会趋于你的
[1128.7s-1130.1s] 顺便只有三分之一
[1130.1s-1131.6s] 我的顺便有三分之二
[1131.9s-1132.6s] 对不对
[1133.0s-1133.8s] 是不是这个道理
[1133.8s-1134.7s] 现在大家的理解
[1134.7s-1136.1s] 为什么在这个节点上面
[1136.6s-1138.5s] 总是跟大家说千万不能满舱
[1138.6s-1140.3s] 一定要把仓废空在六成仓废以内
[1140.3s-1142.6s] 能吃到这句话的含金量了吗
[1143.2s-1144.5s] 现在你们还不知道
[1144.7s-1146.5s] 因为最近选的票有点牛逼
[1146.7s-1147.7s] 只有当你们震到
[1147.7s-1149.0s] 其实框框在亏钱的时候
[1149.0s-1150.5s] 就知道这句话的含金量了
[1150.9s-1153.0s] 但是我用摇骰子
[1153.0s-1154.4s] 我经常用摇骰子这个案例
[1154.4s-1156.4s] 就是为了让你们有一个画面感
[1157.5s-1158.8s] 是不是很形象
[1158.9s-1160.1s] 你就能感受到了
[1160.1s-1161.8s] 前面三次摇的好
[1161.8s-1162.7s] 这很正常
[1163.1s-1164.2s] 很有可能摇一二
[1164.2s-1165.1s] 你就一直摇一二
[1165.1s-1165.7s] 就你
[1166.2s-1168.2s] 但是500次1000次摇1000次
[1170.3s-1171.8s] 你在震荡期
[1171.8s-1172.8s] 满舱做
[1173.4s-1174.0s] 做三年的
[1174.0s-1174.6s] 做五年
[1175.4s-1176.6s] 你觉得你不赔钱吗
[1177.5s-1178.7s] 所以不要用
[1179.1s-1180.9s] 不要用幸存者偏差的
[1180.9s-1182.8s] 各历去涵盖
[1183.0s-1185.0s] 在这里就可以不做仓位管理了
[1185.0s-1185.6s] 很多人想
[1185.6s-1186.7s] 臥槽老大这么牛逼
[1186.7s-1187.9s] 咱们做什么仓位管理
[1187.9s-1188.7s] 满舱满舱
[1188.7s-1189.3s] 永远满舱
[1189.3s-1190.6s] 永远乐类盈旷
[1191.5s-1193.7s] 这种思维上面就是有问题的
[1193.9s-1194.7s] 你看
[1194.8s-1195.6s] 你看
[1196.0s-1197.2s] 有一个女粉就打出来了
[1197.2s-1197.8s] 永远满舱
[1197.8s-1198.9s] 永远乐类盈旷
[1203.2s-1203.8s] 对吧
[1203.8s-1205.3s] 所以大家要有这个概念
[1205.3s-1207.5s] 这又是一个非常顶级的思维
[1207.5s-1209.4s] 在我们交易的过程当中
[1209.4s-1210.3s] 概率论
[1210.3s-1213.1s] 永远都是我们排在最前面的
[1214.0s-1214.9s] 排在最前面的
[1214.9s-1215.2s] 好
[1215.2s-1216.3s] 这是第三个点
[1216.4s-1217.6s] 第四个点
[1217.9s-1220.0s] 你们要去看我的打法节奏
[1220.0s-1222.0s] 为什么我说所有的新粉
[1222.6s-1224.4s] 你不要跟我说你有多努力
[1224.4s-1225.1s] 多努力
[1226.0s-1227.0s] 所有的新粉
[1227.0s-1229.2s] 一定要把3月26号以后
[1229.2s-1230.7s] 这整一轮阶段
[1230.7s-1232.0s] 我们整一轮打法
[1232.0s-1233.5s] 所有的历史直播回放
[1233.5s-1235.4s] 以及新法去看一遍
[1236.0s-1237.0s] 看完之后
[1237.0s-1239.3s] 胜过你曾经炒股10年
[1239.7s-1241.0s] 没有跟你们开玩笑
[1243.1s-1244.8s] 没有跟你们开玩笑
[1245.1s-1246.8s] 这一轮经典战役
[1246.8s-1249.3s] 也可以记录到我人生当中
[1249.3s-1251.1s] 这一辈子人生当中
[1251.7s-1253.5s] 最豪华的战役之一
[1255.4s-1258.4s] 你们能把这一轮行情给弄明白了
[1259.3s-1262.3s] 你们能把这一轮行情给弄明白了
[1267.5s-1269.9s] 比你以前在瞎这把稿10年
[1269.9s-1270.4s] 有什么用
[1272.5s-1273.6s] 没有跟你们开玩笑
[1273.6s-1274.9s] 我这句话就落在这里
[1276.7s-1278.1s] 你把这个阶段弄明白了
[1278.1s-1278.9s] 你花时间
[1278.9s-1279.6s] 我跟你们说过了
[1279.6s-1281.2s] 为什么有些人炒股10年
[1281.2s-1282.4s] 20年还是个韭菜
[1283.7s-1284.6s] 方向错了
[1284.6s-1285.4s] 方法错了
[1285.4s-1286.5s] 学的东西错了
[1286.5s-1287.5s] 别说10年
[1287.8s-1289.8s] 50年以后你也还是个韭菜
[1290.8s-1292.9s] 韭菜不会因为股零的增长
[1292.9s-1294.4s] 而变成不是韭菜
[1296.3s-1297.4s] 所以我苦口婆心
[1297.4s-1299.1s] 跟你们说这一场战役
[1299.1s-1301.5s] 你哪怕只能理解30%
[1301.5s-1303.2s] 对你股市交易上面
[1303.2s-1305.1s] 都能提升一大个维度
[1305.9s-1308.5s] 这场战役这一轮行情的直播
[1308.7s-1309.3s] 回放
[1310.4s-1313.0s] 以后客服把他全部整理好
[1313.0s-1314.1s] 所有的新粉进来
[1314.1s-1314.9s] 我再次强调一遍
[1314.9s-1315.8s] 所有客服
[1315.8s-1316.6s] 我说的
[1318.1s-1319.7s] 也可以把直播间切片
[1319.7s-1320.9s] 你可以切一部分
[1320.9s-1322.3s] 发给所有的新进来
[1322.3s-1324.7s] 买了软件的所有的新粉
[1324.7s-1325.7s] 第一件事情
[1326.1s-1328.3s] 就是把3月26号到这里的
[1328.3s-1329.8s] 这整一场战役
[1329.8s-1331.3s] 全部去学习一遍
[1331.7s-1333.4s] 胜过你曾经炒股10年
[1333.4s-1335.1s] 20年甚至100年
[1336.4s-1337.3s] 这一场战役
[1337.3s-1338.0s] 你弄明白了
[1338.0s-1340.0s] 未来每一场主生浪的战役
[1340.0s-1341.5s] 你都能做明白
[1342.2s-1343.3s] 哪怕你做不明白
[1343.3s-1345.2s] 至少下一轮主生浪的时候
[1345.4s-1346.7s] 你听话总会吧
[1349.0s-1350.1s] 听话总会吧
[1351.2s-1352.5s] 给你们稍微回顾一下
[1352.5s-1353.7s] 我们整轮战役
[1354.3s-1356.1s] 从一轮大空头的时候
[1356.1s-1357.7s] 一直叫大家空舱
[1357.9s-1359.4s] 你们再去听3月26号
[1359.4s-1360.2s] 27号28号
[1360.2s-1361.4s] 你就会发现每一天直播间
[1361.4s-1362.6s] 我都在讲空舱
[1364.6s-1366.0s] 在这一轮节点爆发的时候
[1366.0s-1367.5s] 告诉你们转式点来了
[1367.5s-1369.8s] 我们优先第一时间上车什么
[1369.8s-1370.7s] 上车阵眼
[1370.7s-1371.6s] 这个阵眼是什么
[1371.6s-1372.8s] 先想好方向
[1372.8s-1373.8s] 方向是
[1374.6s-1375.4s] CPU
[1375.8s-1376.4s] 算力
[1378.6s-1379.5s] 成组芯片
[1379.5s-1380.7s] 但是在这个阶段
[1380.7s-1381.4s] 在这个节点
[1381.4s-1382.2s] 我们选择了什么
[1382.2s-1383.9s] 上CPU龙头
[1385.0s-1385.7s] 不叫CPU龙头
[1385.7s-1386.9s] 像上CPU
[1387.6s-1388.8s] 我认为最核心的标记
[1388.8s-1390.3s] 当时上了东山精密
[1390.3s-1391.5s] 这个叫做节奏感
[1391.5s-1392.4s] 节奏选好了
[1392.4s-1393.5s] 主线选对了
[1393.5s-1396.5s] 这一轮行情是不是通信设备最强
[1396.5s-1397.3s] 毋庸置疑
[1397.3s-1398.1s] 在这个节点上面
[1398.1s-1399.3s] 我们选到了主线
[1400.0s-1400.7s] 毋庸置疑
[1400.7s-1402.0s] 我们也选对了龙头
[1402.0s-1403.4s] 东山精密60个点
[1404.9s-1406.5s] 到了第二次非常重要的节点
[1406.5s-1407.5s] 是一阶段走完
[1407.5s-1408.8s] 走二阶段修整的时候
[1408.8s-1409.5s] 告诉你们
[1409.5s-1410.4s] 节前
[1410.8s-1412.1s] 继续重仓满仓
[1412.1s-1413.3s] 不许降仓尾
[1413.5s-1414.4s] 只做平移
[1414.4s-1415.0s] 千万到了
[1415.0s-1415.9s] 新的主线
[1416.1s-1417.3s] 半导体设备
[1417.5s-1418.2s] GPU
[1420.2s-1421.5s] 层主芯片没有变
[1421.5s-1422.5s] 然后在这个阶段
[1422.5s-1423.5s] 我们选的龙头
[1423.5s-1424.6s] 是海光信息
[1424.6s-1425.8s] 加上得名力
[1426.2s-1428.1s] 又是完美的切到了主线
[1428.9s-1430.0s] 所有的直播回报里面
[1430.0s-1431.5s] 都有每一天的字语去听
[1431.9s-1433.5s] 现在是在给你们做回顾
[1434.9s-1437.1s] 在这个是二阶段是让我们干嘛
[1437.5s-1438.8s] 每次到二阶段
[1438.8s-1440.4s] 四阶段都是在给我们干嘛
[1440.4s-1441.9s] 再给你们修整时间
[1441.9s-1444.3s] 我在找新的主线方向
[1446.0s-1447.1s] 新的主线方向
[1447.4s-1448.6s] 直接切到这里以后
[1448.6s-1449.1s] 走完
[1449.1s-1450.0s] 走完以后告诉大家
[1450.0s-1450.6s] 风险来了
[1450.6s-1451.9s] 仓尾一定要管理好
[1452.2s-1453.4s] 因为接下来赚钱
[1453.4s-1455.0s] 不是我们的首要目标
[1455.1s-1456.0s] 守前
[1456.0s-1458.2s] 守住你之前这波主声浪的利润
[1458.2s-1459.4s] 才是我们的主要目标
[1459.4s-1460.7s] 目标定位变了
[1460.7s-1462.6s] 前面是满仓重仓吃不代仓
[1462.6s-1463.5s] 满仓重仓吃不代仓
[1463.5s-1464.8s] 把利润最大化
[1465.0s-1466.2s] 一到这个节点以后
[1466.2s-1468.2s] 立马提醒大家节奏变了
[1468.2s-1470.0s] 我们现在叫做守住利润
[1470.3s-1472.1s] 我们的目标不是为了赚多少钱
[1472.1s-1473.1s] 能守住多少
[1473.6s-1475.9s] 退潮了才知道谁在挪拥
[1478.1s-1481.0s] 退潮了才知道谁在挪拥
[1482.2s-1484.0s] 这次看来我们没有挪拥
[1484.0s-1485.4s] 挪拥的都是外面的人
[1486.4s-1487.5s] 到这个阶段告诉你们
[1487.5s-1488.2s] 仓尾降下来
[1488.2s-1490.1s] 然后我又在看新方向
[1490.1s-1492.5s] 在这里又找到了下一个新方向
[1494.6s-1496.2s] 常电科技5万
[1496.2s-1497.2s] 而不是常电科技
[1497.8s-1499.4s] 常新科技5万亿
[1499.4s-1501.4s] 我们选到了赵毅创新
[1502.1s-1504.7s] 又是选到了市场上的最强的龙头
[1506.2s-1507.5s] 到了这个阴陷以后
[1507.5s-1509.0s] 又告诉大家优一点
